Topic,Sub-Topic,Category,Initiative,Old Initiatve,Description,Sector Included,Sector not included,Benefits,Evidence,KPI ,KPI Justification,Case Execution,Case Impact
Nature & Resources,Waste & Circularity,Waste Management,Conduct a waste characterisation assessment,Conduct a waste characterisation assessment,"A structured analysis of the types, quantities and sources of waste generated by an organisation or site.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Lowers Landfill and Hauling Fees, Identifies Procurement Overspending, Optimizes Collection Bin Logistics, Uncovers Recyclable Revenue Streams, Maximizes Landfill Diversion, Cuts potent GHGs, Conserves Global Resource Lifecycles",Reeco,"Binary completion per site, with output being a breakdown of waste by stream (food, dry mixed recycling, general, cooking oil) expressed as kg per week and % of total waste",A total weight figure alone tells you nothing about where to intervene. Stream-level data is the minimum useful output,,
Nature & Resources,Waste & Circularity,Waste Management,"Set a documented food waste reduction target with a baseline year, an interim milestone, and a final target date",Set targets to reduce food waste.,"Setting measurable, time-bound goals to reduce avoidable food waste across purchasing, storage, preparation, service and plate waste.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Reduces COGS, Lowers Direct Inventory Spoilage, Cuts Monthly Hauling Fees, Improves Culinary Labor Productivity, Cuts GHGs, Saves Embedded Virtual Water, Minimizes Land-Use Impact",MGM,"kg of food waste per cover or per £1,000 of revenue against a documented baseline, with a % reduction target and dated deadline",Absolute waste tonnes can fall simply because business got quieter. Intensity metrics are the only defensible way to claim genuine operational improvement,,
Nature & Resources,Waste & Circularity,Waste Management,Segregate food waste for composting or Anaerobic Digestion ,Segregate food waste for composting or Anaerobic Digestion (AD),Separating food waste from general waste so it can be treated through composting or anaerobic digestion rather than landfill or incineration.,"Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Lowers General Waste Costs, Avoids Commercial Compliance Penalties, Cuts Landscape Maintenance Overhead, Mitigates Potent Landfill Gases, Restores Natural Soil Nutrients, Encourages Zero-Waste Circularity",US Dept of Agri ,"% of total food waste by weight diverted to composting or AD rather than general waste or landfill, measured monthly via contractor reports","Contractor data provides an independent source rather than relying on self-weighing, which is unreliable",,
Nature & Resources,Waste & Circularity,Waste Management,Distribute Surplus Food via a credible distribution partner,Distribute surplus food,"Redistributing safe, edible surplus food to employees, community groups, charities or other users instead of disposing of it.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Lowers Commercial Disposal Fees, Uncovers Upstream Sourcing Flaw, Unlocks Corporate Tax Deductions, Prevents Methane Landfill Vents, Preserves Embedded Lifecycle Resources",Hilton,kg of surplus food redistributed per month and estimated number of meals provided via a named partner,Without a named partner this can be satisfied by occasionally giving leftovers to staff,"The kitchen team systematically isolated and gathered high-quality food assets that could not be commercially sold
The hotel established a long-term partnership with The Felix Project, a local charity dedicated to fighting hunger by collecting fresh surplus food and routing it to schools and regional charities
Instead of simply handing over raw ingredients, the hotel leveraged its massive kitchen footprint and large freezer storage. Multi-departmental staff volunteers and chefs collaboratively upcycled the donations into ready-to-eat, portion-controlled microwavable meals.
The culinary team dynamically engineered recipes around whatever was delivered, combining their own surplus kitchen items with charity-provided overstock
the hotel's on-site restaurant introduced separate zero-waste menus, utilizing cross-utilization techniques
The entire operational volume and downstream disposal avoidance are managed and tracked using LightStay, Hilton’s award-winning proprietary ESG management system","Over the course of the partnership, the team successfully collected and redirected a verified 10.15 tonnes of surplus food
The kitchen volunteers transformed this saved mass into over 73,000 ready-to-eat microwavable meals for vulnerable local populations
Prevents Methane Landfill Vents
Lowers Commercial Disposal Fees
Unlocks Brand Premium and Client Alignment
Boosts Team Culture and Moral Engagement"
Nature & Resources,Waste & Circularity,Waste Management,Optimise portion sizes to reduce plate waste; plan demand through data,Optimise portion sizes to reduce plate waste; plan demand through data,"Using portion control, sales and demand data to better match food preparation and serving sizes with customer demand and reduce plate and production waste.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Lowers COGS, Minimizes Production Overruns, Cuts Waste Disposal Fees, Optimizes Kitchen Labor, Reduces Scope 3 Lifecycle Footprint, Prevents Landfill Methane Emissions",Nordic,"kg of plate waste per cover, and food cost variance as a secondary KPI",Connecting plate waste to a financial metric operations teams already track makes this initiative relevant to managers who don't think in kg,"Structural Hardware Alteration
Psychological Signage Prompts
Controlled Field Testing
Macro Observational Validation","Both the plate-size reduction and the secondary signage nudges independently resulted in a roughly 20% absolute reduction in hotel food waste
Prevents Landfill Methane Emissions
Reduces Scope 3 Lifecycle Footprint
Minimizes Production Overruns"
Nature & Resources,Waste & Circularity,Waste Management,Complete a circularity audit covering the top three waste streams by volume and identify at least one viable circular option per stream within 90 days,Assess opportunities for circularity,"Identifying ways to keep products, materials and resources in use for longer through reuse, repair, refurbishment, remanufacture or recycling.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Reduces Cap Ex, Lowers Trade Disposal Surcharges, Unlocks Procurement Value Mapping, Generates Secondary Salvage Revenue, Curtails Extraction and Manufacturing Emissions, Maximizes Landfill Diversion",Hospitality 360,"Number of waste streams audited, number of viable circular options identified, and number actually implemented within 12 months of the audit",An audit that never leads to action is just a report. The implementation count is what distinguishes a completed exercise from a real outcome,"Physical Mass Characterization
Procurement Value Mapping
Circularity Sourcing Hackathons
Commercial Feasibility Inquest
The 90-Day Circularity Action Plan","Implementing the identified circular solutions successfully shifts the facility's baseline metrics to achieve a 50% to 65% absolute diversion rate from local landfills
Diverting dense, heavy organic and packaging streams out of general refuse containers yields an immediate 30% to 42% reduction in commercial trade disposal fees and volumetric tipping taxes
Mitigates Evolving Regulatory Compliance Risks"
Nature & Resources,Waste & Circularity,Waste Management,Train operational teams to reduce production waste and measure pre/post-training waste performance,Train operational teams to reduce production waste,"Training operational employees to prevent production waste through better forecasting, preparation, handling, storage and process control.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Optimized Raw Ingredient COGS, Drastic Drop in Storage Spoilage, Lowered Daily Trash Disposal Bills, Maximized Shift Productivity, Reduced Scope 3 Value Chain Footprint, Mitigated Landfill Methane Emissions",Marriott,"% of relevant operational staff trained with a completion record, and change in food waste per cover at trained sites versus untrained sites over the same period",Training that doesn't move the waste number isn't working. The before/after comparison proves whether training was worth delivering,"Integrated Tracking Hardware
Targeted Waste Stream Identification
Dynamic Operational Adjustments
Data-Driven Sourcing and Production Sheets
Visual Performance Feedback","The hotel achieved a verified 66% reduction in food waste by financial value
Successfully dropped the physical volume of organic waste by 58% by weight
adjusting portion sizes and tray configurations in the staff canteen cut organic waste by 20 pounds per day, saving over 7,000 pounds of food annually
Reduced Scope 3 Value Chain Footprint"
Nature & Resources,Waste & Circularity,Waste Management,Quantify your food waste,Quantify your food waste,"Measuring the amount, type, source and cost of food waste consistently to establish a baseline and track reduction progress.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Pinpoints Financial Bleeding, Identifies the Root Source, Optimizes Procurement Budgets, Reduces Waste Hauling Fees, Shrinks the Scope 3 Value Chain Footprint, Cuts Landfill Methane Emissions",Winnow,"kg of food waste per week per site broken down by pre-consumer and post-consumer waste where possible, using a named methodology",Two sites measuring food waste differently produce numbers that cannot be compared. The named methodology requirement creates comparability across the estate,"Automated Data Capture
Machine Learning Identification
Overcoming Surveillance Anxieties
Dynamic Menu Adjustments","Establishments using the technology successfully reduce their total food waste volumes by up to 50% within the first year
Quantifying waste allows commercial kitchens to shrink their overarching food procurement costs by between 3% and 8%
The technology delivers a full, positive ROI within the first 12 months in roughly 95% of commercial cases
Implementing this exact system across 23 UK and Ireland IKEA stores drove a 50% food waste reduction, saving in excess of £1.4Mn in a single year (the equivalent of over 1.2 Mn meals)
On a macro level, the business model has enabled hospitality clients to collectively save the equivalent of 36 million meals every year"
Nature & Resources,Waste & Circularity,Waste Management,Extend the life of your cooking oil,Extend the life of your cooking oil,"Extending the usable life of cooking oil through correct storage, filtration, temperature control and operating practices.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Slashes Procurement Costs, Controls Procurement Shrinkage, Reduces Heavy Kitchen Labor, Protects Menu Consistency and Quality, Cuts Scope 3 Upstream Lifecycle Pressures, Reduces Carbon Discharges, Improves Circular Economy Feedstocks",Burger King,"Average number of frying cycles per oil charge before disposal, and litres of oil consumed per £1,000 of fried-food revenue",The intensity figure separates genuine extension of oil life from a reduction in fried-food menu volume,"Stores established a ""Pre-Test"" baseline using a digital oiltester to measure the Total Polar Materials (% TPM) of frying oil, setting a strict quality retirement limit of 24% TPM
Test locations ran a standard daily procedure consisting of evening built-in fryer filtration followed by morning TPM oil-quality logging and documentation
During the active test phase, teams integrated mobile VITO microfiltration systems into their morning routine, using a high-pressure, 60 l/min pressure-vortex filter paper loop directly inside active vats for a standard 4.5-minute cycle time
The procedure was independently validated across two distinct high-volume equipment setups: dedicated French Fries Fryers and multi-use product Fryers","Extended average oil lifespan from 5 days to 8 days (a 60% duration increase), saving 27.3 full oil changes per year and cutting oil demand by 37.5%
Delivered a consistent 30% to 36% absolute reduction in frying oil consumption across all store profiles
Delivered a consistent 30% to 36% absolute reduction in frying oil consumption across all store profiles
Generated financial oil cost savings of €180.00 to €350.00 per month, translating directly to €2,300.00 to €4,622.00 in annual net savings per restaurant
Factoring in the machine expenditure and ongoing paper filter operating costs, the equipment completely paid for itself with an ROI of 6.6 to 12.8 months"
Nature & Resources,Waste & Circularity,Waste Management,Recycle your used cooking oil at end of life,Recycle your used cooking oil at end of life,"Collecting used cooking oil at the end of its useful life for responsible recycling, including conversion into fuels or other products where appropriate.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Slashes Procurement Costs, Controls Procurement Shrinkage, Reduces Heavy Kitchen Labor, Protects Menu Consistency and Quality, Cuts Scope 3 Upstream Lifecycle Pressures, Reduces Carbon Discharges, Improves Circular Economy Feedstocks",Burger King,"% of total used cooking oil volume collected by a licensed collector rather than disposed of as general waste, measured via collection records",Licensed-collector records provide independent verification and ensure the oil actually becomes biodiesel or another useful output,"Stores established a ""Pre-Test"" baseline using a digital oiltester to measure the Total Polar Materials (% TPM) of frying oil, setting a strict quality retirement limit of 24% TPM
Test locations ran a standard daily procedure consisting of evening built-in fryer filtration followed by morning TPM oil-quality logging and documentation
During the active test phase, teams integrated mobile VITO microfiltration systems into their morning routine, using a high-pressure, 60 l/min pressure-vortex filter paper loop directly inside active vats for a standard 4.5-minute cycle time
The procedure was independently validated across two distinct high-volume equipment setups: dedicated French Fries Fryers and multi-use product Fryers","Extended average oil lifespan from 5 days to 8 days (a 60% duration increase), saving 27.3 full oil changes per year and cutting oil demand by 37.5%
Delivered a consistent 30% to 36% absolute reduction in frying oil consumption across all store profiles
Delivered a consistent 30% to 36% absolute reduction in frying oil consumption across all store profiles
Generated financial oil cost savings of €180.00 to €350.00 per month, translating directly to €2,300.00 to €4,622.00 in annual net savings per restaurant
Factoring in the machine expenditure and ongoing paper filter operating costs, the equipment completely paid for itself with an ROI of 6.6 to 12.8 months"
Nature & Resources,Waste & Circularity,Waste Management,Recycle equipment at end-of-life,Recycle equipment at end-of-life,"Ensuring equipment is reused, refurbished, resold or recycled responsibly when it reaches the end of its operational life.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Recovers Residual Asset Value, Slashes Future Procurement Outlays, Minimizes Bulky Waste Disposal Fees, Mitigates E-Waste and Heavy Metal Leakage, Drastically Lowers Embedded Lifecycle Emissions, Feeds the Manufacturing Circular Loop",Exeter CE,"% of end-of-life equipment by unit count disposed of through a certified WEEE recycler or refurbishment channel, and kg of equipment diverted from landfill per year","Unit count catches negligence (recycling one phone while disposing of 10 fridges badly), and kg tracks the actual material volume diverted","Digital Lifecycle Mapping
On-Site Asset Auditing
Circular Potential Classification
Component-Level Harvesting","Refurbishing and retaining three existing units—instead of buying brand-new linear replacements—delivered more than £17,700 in direct cost savings to the business
Safely harvesting and retaining working parts from the remaining decommissioned products generated over £9,000 in internal component cost savings
Selling the remaining unneeded harvested spare parts into regional technical supply markets generated £2,332 in direct secondary income
The initial site diagnostic successfully uncovered an immediate £6,000 to £7,000 in hidden purchase value tied up in completely idle, unutilized kitchen assets"
Nature & Resources,Waste & Circularity,Waste Management,Promote takeaway options for unfinished food,Promote takeaway options for unfinished food,"Offering customers suitable containers or services to take unfinished food away, helping reduce plate waste.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Lowers Organic Waste Fees, Enhances Customer Perceived Value, Uncovers Menu Portion Issues, Prevents Methane Landfill Vents, Preserves Embedded Lifecycle Resources",Trimming the plate,"% of sites offering a named take-home option (doggy bag, reusable container scheme, or third-party app), and where the scheme tracks it, estimated kg of food saved from disposal per month","You cannot weigh food customers take home. Availability is the honest primary KPI, with volume as an optional secondary where a tracking scheme exists","Refurbishing and retaining three existing units—instead of buying brand-new linear replacements—delivered more than £17,700 in direct cost savings to the business
Safely harvesting and retaining working parts from the remaining decommissioned products generated over £9,000 in internal component cost savings
Selling the remaining unneeded harvested spare parts into regional technical supply markets generated £2,332 in direct secondary income
The initial site diagnostic successfully uncovered an immediate £6,000 to £7,000 in hidden purchase value tied up in completely idle, unutilized kitchen assets","Refurbishing and retaining three existing units, instead of buying brand-new linear replacements delivered more than £17,700 in direct cost savings to the business
Safely harvesting and retaining working parts from the remaining decommissioned products generated over £9,000 in internal component cost savings
Selling the remaining unneeded harvested spare parts into regional technical supply markets generated £2,332 in direct secondary income
The initial site diagnostic successfully uncovered an immediate £6,000 to £7,000 in hidden purchase value tied up in completely idle, unutilized kitchen assets"
Nature & Resources,Waste & Circularity,Waste Management,"Reduce active menu SKU count by a defined %, and measure the impact on food waste per cover over the following 90 days",Simplify menus to reduce waste,"Reducing unnecessary menu complexity to improve forecasting, ingredient utilisation, stock rotation and waste prevention.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Lowers COGS, Drastically Minimizes Inventory Capital, Improves Kitchen Prep Productivity, Cuts Scope 3 Upstream Value Chain Footprint, Prevents Landfill Methane Emissions",Trimming the plate,"Number of active SKUs before and after, and food waste per cover before and after at the same sites over a comparable trading period",A shorter menu does not automatically reduce waste if remaining dishes still over-produce. The waste-per-cover figure proves whether simplification actually worked,"Refurbishing and retaining three existing units—instead of buying brand-new linear replacements—delivered more than £17,700 in direct cost savings to the business
Safely harvesting and retaining working parts from the remaining decommissioned products generated over £9,000 in internal component cost savings
Selling the remaining unneeded harvested spare parts into regional technical supply markets generated £2,332 in direct secondary income
The initial site diagnostic successfully uncovered an immediate £6,000 to £7,000 in hidden purchase value tied up in completely idle, unutilized kitchen assets","Refurbishing and retaining three existing units, instead of buying brand-new linear replacements delivered more than £17,700 in direct cost savings to the business
Safely harvesting and retaining working parts from the remaining decommissioned products generated over £9,000 in internal component cost savings
Selling the remaining unneeded harvested spare parts into regional technical supply markets generated £2,332 in direct secondary income
The initial site diagnostic successfully uncovered an immediate £6,000 to £7,000 in hidden purchase value tied up in completely idle, unutilized kitchen assets"
Nature & Resources,Waste & Circularity,Waste Management,Process food waste on-site,Process food waste on-site,"Using on-site technologies such as dehydration, composting or biological treatment to reduce or process food waste at the point of generation.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Drastically Lowers Hauling and Tipping Fees, Eliminates High-Frequency Pickups, Cuts Outbound Landscaping Costs, Future-Proofs Against Bio-Waste Taxes, Stops Potent Landfill Methane Emissions, Eliminates Scope 3 Collection Truck Emissions",Grand hyatt,"% of total food waste by weight processed on-site, and output produced per tonne of food waste input (kg of compost, litres of liquid feed, or kWh of biogas)",On-site processing that produces a useful output is materially different from treatment that simply reduces volume before landfill. The output metric distinguishes the two,"Kitchen staff and back-of-house teams discard food scraps, fish skins, fat, and meat bones directly into MEIKO WasteStar vacuum inlets installed right at their workstations
The waste is immediately sucked away through an automated vacuum system into a centralized grinder and dewatering unit
The centralized unit pulps the waste and mechanically reduces its water content by 50%
The resulting dry pulp is transferred into an on-site 'Rapid Thermophilic Digestion System' (developed by Biomax Technologies). The system converts the pulp into pathogen-free organic fertilizer in under 24 hours
To support the initial installation budget, the hotel secured a US $250,000 grant through Singapore's National Environment Agency (NEA) 3R Fund","The combined vacuum and digestion process successfully reduces every 1,000 kg of daily food waste down to just 250 kg of organic fertilizer (a 75% mass reduction)
The hotel permanently diverts 400 tonnes of food waste out of landfills annually
Bypassing traditional bin disposal saves approximately 55,000 single-use trash bags every year"
Nature & Resources,Waste & Circularity,Waste Management,Responsibly dispose off or donate furniture and fittings at end-of-life,Responsibly dispose of or donate furniture and fittings at end-of-life,"Reusing, donating, reselling or recycling furniture and fittings at end of life rather than sending them to disposal.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Slashes Massive Landfill and Hauling Fees, Unlocks Corporate Tax Incentives, Improved Brand Equity via Community Engagement, Reduces Operational Warehousing Costs, Cuts Material Extraction and Production Carbon, Halts Deforestation and Resource Depletion",Radisson,"% of end-of-life furniture and fittings by unit value disposed of through reuse, donation, or certified recycling rather than general waste, with named recipients or recyclers",Unit value weighting gives a more honest picture than unit count since a donated chair and a donated commercial refrigerator are not equivalent,"Disposal and redistribution frameworks are managed through a dual integration model, combining centralized corporate support directives with property-level execution managed by hotel General Managers
Dedicated Regional Responsible Business Champions vet, coordinate, and oversee localized donation logistics across Europe, the Middle East, Africa, and Asia Pacific to match idle assets with local needs
Hotel teams track resource management, donations, and landfill diversion indicators centrally through the THINK Hub data platform to verify compliance with global brand standards
Properties establish direct logistics partnerships with local non-profits, disaster-relief organizations, and global bodies (such as SOS Children's Villages) to safely transition items into secondary use
RHG enforces structural accountability by binding procurement partners to a strict Supplier Code of Conduct that mandates sustainable consumption and responsible material stewardship","Corporate offices and hotels collaboratively generated €1.25 million in cash and in-kind donations (including furniture, equipment, and structural assets) to non-profit organizations
Diverting bulk materials from landfill systems and adopting resource-efficient operations helped achieve a 33% reduction in carbon emissions per square metre compared to the 2019 baseline
These structured asset-recovery and operations standards contributed to 58% of the global hotel portfolio successfully qualifying for third-party verified ""Sustainable Stays"" status
Strategic partnerships supported by corporate resource distribution provided vital necessities and safe drinking water to 32,000 people globally"
Nature & Resources,Waste & Circularity,Waste Management,Recycle and responsibly dispose of staff uniforms at end-of-life,Recycle and responsibly dispose of staff uniforms at end-of-life,"Collecting, reusing, repurposing or recycling staff uniforms and textiles responsibly when they are no longer suitable for use.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Slashes Industrial Hauling and Disposal Fees, Maximizes Brand Protection and Security, Trims Procurement Outlays via Uniform Pooling, Conserves Micro-Ecosystem Resources, Drastically Lowers Value Chain Carbon, Aviods textlie waste from going to landfill",360 Weave,"% of decommissioned uniforms by weight collected through a textile-recovery or recycling scheme rather than general waste, and the named scheme used",Honest but unlikely to move any material environmental metric for most operators. Worth keeping for completeness but should sit at the bottom of any prioritisation list,"Participating commercial properties gather thousands of keys' worth of torn, stained, or decommissioned operational textiles (such as staff uniforms, bed sheets, and kitchen linens) that are no longer fit for property service
Collected mass is contractually handed over to specialized logistics networks. For example, The First Group Hotels transferred 2.5 tons of textiles while Millennium Place Dubai Marina handed over 1 ton within a single target cycle
The gathered fabric materials are shipped to Dr. Linen's advanced processing and sortation facilities
Specialized equipment shreds, breaks down, and reconstitutes the fabrics at a fiber level. This mechanically transforms the spent waste back into raw, usable threads and textiles
The newly spun materials are either manufactured back into circular textiles to be reintroduced straight into the hospitality sector or allocated directly to community donation networks","The collaborative framework successfully intercepted and diverted an aggregate of 3.5 tons (3,500 kg) of structural textile waste away from municipal garbage skips in a single month
The operational infrastructure successfully scales across massive hospitality portfolios, instantly pulling metrics from organizations managing more than 2,800 rooms/keys
Maximizes Brand Protection and Security"
Nature & Resources,Waste & Circularity,Waste Management,Deploy [named technology] to monitor [named waste stream] and use data to reduce [waste type] by [target %] within 12 months,Use smart equipment and IoT technology to reduce waste,"Using connected equipment, sensors and Internet of Things technology to monitor operations, improve control and prevent food, material or energy waste.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Eliminates Invisible Standby Energy Costs, Unlocks Predictive Maintenance, Prevents Inventory Spoilage and Shrinkage, Slashes Localized Operational Carbon, Avoids food waste & methane emissions from it",Sodexo,"% reduction in the targeted waste stream per site following deployment, measured against a pre-installation baseline over a minimum 3-month comparison period",A 3-month minimum catches whether the gain is sustained. Many IoT deployments produce an initial improvement that fades without ongoing behavioural reinforcement,"System Integration Onboarding
Smart Device Deployment
Real-Time Touchscreen Categorisation
Automated Cloud Reporting
Normalized Baseline Setting
Collaborative Action Reviews","Properties using the technology successfully achieved up to a 41% maximum reduction in grams of food waste per cover from their baseline, driving a collective 16% average reduction across the technology-based sites
The collaborative intervention contributed to preventing a total of 12 tonnes of food waste per annum across all trial locations
 The 7p/cover efficiency gains yielded £3,900 in direct cash savings within the short eight-week monitoring period alone, scaling to an equivalent of £25,000 in recurring annual savings across the smart meter sites"
Nature & Resources,Waste & Circularity,Packaging,"Optimise packaging materials - Reduce packaging materials used, and waste generated","Optimise packaging materials - Reduce packaging materials used, and waste generated","Redesigning packaging to use less material, eliminate unnecessary components and reduce waste across the product and delivery system.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Lowers Primary Sourcing Costs, Reduces Logistics and Shipping Fees, Decreases Commercial Disposal Costs, Bypasses EPR Taxes, Cuts Lifecycle Carbon Footprint (Scope 3), Halts Natural Resource Depletion, Mitigates Plastic and Landfill Pollution",Herman Miller,"Average packaging weight per unit sold in grams per transaction, and % of packaging that is mono-material and therefore actually recyclable in the local waste infrastructure",A switch to eco packaging that is multi-layer or food-contaminated is still landfill. The mono-material figure tests whether packaging is genuinely recyclable not just labelled as such,"Herman Miller worked with its packaging suppliers to engineer custom, durable asset protections. This included five styles of sewn fabric covers for wood furniture, plastic corrugated containers with foam inserts for sheet metal panels, and bespoke reusable pallets for fabric floor screens
Over a 14-month delivery window, a dedicated carrier ran a daily full trailer load of furniture from the Michigan factory straight to the Texas construction site
Every Thursday, the site installation crews packed a week's worth of collapsed sewn covers and pallets back onto the empty trailer, returning them to Michigan for immediate factory reuse
The extreme physical protection of the reusable covers allowed logistics crews to change their stacking profiles. They stood heavy 72-inch wood credenzas completely upright and stacked lighter wood overheads directly on top to utilize the full height of the trailer
Engineering teams initiated planning 4 months before active shipments, coordinating between manufacturing departments, logistics handlers, regional dealers, and destination installers to align daily workflows","The initiative saved more than $500,000 in combined packaging material and freight expenses
he project permanently kept 100 tons (200,000 pounds) of packaging waste out of landfills
By bypassing single-use boxes, the factory entirely avoided the procurement and disposal of 150,000 EPS foam corner fillers and 120,000 pieces of corrugated cardboard
Boosting cube efficiency reduced required deliveries by over 200 full truckloads, taking at least 200 carbon-heavy trailers completely off the road
Reusable packing structures allowed logistics teams to scale their single-trailer cube utilization from a standard 65% baseline up to 95% or better
At ultimate retirement, the durable items leave Herman Miller with only 1% of the absolute material waste volume compared to traditional expendable alternatives"
Nature & Resources,Waste & Circularity,Packaging,Issue a formal packaging sustainability requirement to all packaging suppliers and request a specific measurable response within 90 days,Engage and work with current suppliers to reduce the impact of packaging,"Collaborating with packaging suppliers to reduce material use, improve recyclability, increase recycled content and lower life-cycle impacts.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Bypasses Plastic Packaging Taxes, Guarantees Immediate Compliance with the EU PPWR, Secures Bulk Sourcing Cost Savings, Lowers Property Waste Disposal Overhead, Dramatically Decreases Scope 3 Value Chain Carbon, Eliminates Mixed-Material Landfill Waste",IHG Hotels,"% of packaging suppliers by spend who received a formal requirement, and % who responded with a specific measurable packaging-reduction commitment",Response rate distinguishes a sent email from a real negotiation,"InterContinental Hotels Group partnered directly with a prominent fruit and vegetable supplier servicing its regional portfolio
The circular transit framework was deployed systematically across 100% of IHG's company-managed hotel estate within the UK
Operations eliminated traditional single-use corrugated cardboard shipping boxes for fresh produce, replacing them with a standardized fleet of rugged, reusable plastic transit crates
The crates operate on a continuous reverse-logistics cycle, where delivery vehicles drop off fresh produce at hotel kitchens, collect empty crates from previous deliveries, and return them to the supplier for sanitisation and reuse","The transition successfully eliminates the procurement and handling of an estimated 14,500 cardboard boxes per year
Preventing single-use box disposal strips 9 tonnes of cardboard waste annually out of the hotel network’s back-of-house operations"
Nature & Resources,Waste & Circularity,Packaging,Switch to eco-friendly takeaway packaging,Switch to eco-friendly takeaway packaging,"Replacing conventional takeaway packaging with reusable, recyclable, compostable or lower-impact alternatives suited to local waste systems.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Reduces Ongoing Packaging Costs, Lowers Waste Management Fees, Drives Customer Acquisition and Revenue, Bypasses Plastic Compliance Penalties, Slashes GHGs, Eradicates ""White Pollution"" and Microplastics",Hotrec,"% of takeaway packaging units by volume meeting the defined standard, and % reduction in virgin plastic units per month",Compostable packaging that ends up in general waste because no composting infrastructure exists locally is not eco-friendly in practice,"The chain phased out standard single-use plastic containers, replacing them with Kiobox—a highly durable, European-manufactured takeaway box made from a sturdy composite mix of ABS plastic and natural wood fibres
To optimize operational efficiency and maximize user accessibility, the business intentionally avoided complex mobile apps or data storage requirements. Instead, it functions as a direct, frictionless cash/card deposit and guarantee refund system at the point of sale
Facing a systemic lack of infrastructure support from external food delivery platforms, the chain restructured its fulfillment team. It scaled up its internal delivery fleet to directly control and manage 75% of all incoming takeaway orders, ensuring the smooth return of the boxes
The durable composite boxes are treated as operational assets rather than single-use trash, remaining in active restaurant-to-consumer circulation loops for over five years without degrading in material quality","The execution successfully prevented the procurement, handling, and disposal of over 5 million single-use takeaway boxes
The low-tech deposit framework achieved an impressive 90% return and retention rate for the packaging containers over a continuous five-year period
The circular packaging infrastructure seamlessly handles the capacity of a high-volume restaurant chain spanning 22 distinct locations"
Nature & Resources,Waste & Circularity,Packaging,Join the plastics pact,Join the plastics pact,"Joining a collaborative commitment or programme focused on eliminating problematic plastics, increasing reuse and improving recycling outcomes.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,"Membership confirmed (binary), plus annual progress against WRAP's four targets: 100% reusable/recyclable/compostable packaging, 70% effectively recycled or composted, 30% average recycled content, and elimination of problematic plastics",Joining without reporting against the targets is performative. The four sub-KPIs are what WRAP itself uses to assess Pact members,,
