Initiative_ID,Initiative_Name,Topic,Sub_Topic,Cost_Factor_ID,Carbon_Factor_ID,Timing_Factor_ID,Efficiency_Factor_ID,Filled_Value_Slots,Empty_Value_Slots,Slots_With_Method,Slots_With_Evidence,Has_Case,Calculation_Readiness,Gap_Note
INIT-0112,Design the menu to highlight and nudge customers toward lower-carbon choices,F&B Procurement & Menu design,Menu Design,CCF-0112,CPF-0112,CTF-0112,CEF-0112,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0113,Swap high-impact ingredients for lower-impact equivalents where they don't compromise the dish,F&B Procurement & Menu design,Menu Design,CCF-0113,CPF-0113,CTF-0113,CEF-0113,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0114,Use nose-to-tail cooking to reduce waste from higher-impact proteins,F&B Procurement & Menu design,Menu Design,CCF-0114,CPF-0114,CTF-0114,CEF-0114,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0115,Adjust portion sizes and prep quantities based on waste data,F&B Procurement & Menu design,Menu Design,CCF-0115,CPF-0115,CTF-0115,CEF-0115,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0116,Undertake a comprehensive review of emissions and sustainability risk across the supply chain (baseline assessment),Supplier & Value Chain Engagement,Strategy,CCF-0116,CPF-0116,CTF-0116,CEF-0116,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0117,Set a Scope 3 emissions reduction target (e.g. aligned to SBTi),Supplier & Value Chain Engagement,Strategy,CCF-0117,CPF-0117,CTF-0117,CEF-0117,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0118,"Establish a sustainable procurement policy, approved and sponsored at Board/ExCo level",Supplier & Value Chain Engagement,Strategy,CCF-0118,CPF-0118,CTF-0118,CEF-0118,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0119,"Implement a regular cadence of touchpoints between procurement, sustainability, and category teams to drive Responsible Procurement priorities",Supplier & Value Chain Engagement,Strategy,CCF-0119,CPF-0119,CTF-0119,CEF-0119,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0120,Build sustainable procurement training and capability into the wider procurement team's professional development,Supplier & Value Chain Engagement,Strategy,CCF-0120,CPF-0120,CTF-0120,CEF-0120,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0121,Collect sustainability data from suppliers,Supplier & Value Chain Engagement,Engagement,CCF-0121,CPF-0121,CTF-0121,CEF-0121,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0122,Conduct lifecycle assessments (LCA) and collect product carbon footprints on key commodities to understand emissions at ingredient level,Supplier & Value Chain Engagement,Engagement,CCF-0122,CPF-0122,CTF-0122,CEF-0122,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0123,Set supplier-facing requirements (Supplier codes of conduct) and communicate shared targets,Supplier & Value Chain Engagement,Engagement,CCF-0123,CPF-0123,CTF-0123,CEF-0123,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0124,Use a supplier scorecard to track performance and prioritise engagement with material suppliers,Supplier & Value Chain Engagement,Engagement,CCF-0124,CPF-0124,CTF-0124,CEF-0124,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0125,"Provide a tailored supplier engagement strategy for material/priority suppliers (segmented by spend, risk, and emissions contribution)",Supplier & Value Chain Engagement,Engagement,CCF-0125,CPF-0125,CTF-0125,CEF-0125,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0126,"Incentivise supplier progress (e.g. preferred status, longer contracts)",Supplier & Value Chain Engagement,Engagement,CCF-0126,CPF-0126,CTF-0126,CEF-0126,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0127,Co-invest with suppliers in decarbonisation or regenerative agriculture projects (e.g. insetting programmes),Supplier & Value Chain Engagement,Engagement,CCF-0127,CPF-0127,CTF-0127,CEF-0127,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0128,"Map supply chains beyond Tier 1 (Tier 2/3, down to farm/origin level) for material (High-spend, high-carbon and/or high-risk commodities)",Supplier & Value Chain Engagement,Risk Anaysis,CCF-0128,CPF-0128,CTF-0128,CEF-0128,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0129,"Map exposure to forest-risk commodities (soy, palm oil, cocoa, coffee, beef/leather, rubber, timber/paper & packaging)",Supplier & Value Chain Engagement,Deforestation,CCF-0129,CPF-0129,CTF-0129,CEF-0129,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0130,Set a deforestation-free sourcing commitment and require traceability to origin,Supplier & Value Chain Engagement,Deforestation,CCF-0130,CPF-0130,CTF-0130,CEF-0130,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0131,"Source certified sustainable commodities (e.g. RSPO for palm oil, Rainforest Alliance/UTZ or 4C for coffee and cocoa, FSC/PEFC for timber and paper-based packaging)",Supplier & Value Chain Engagement,Deforestation,CCF-0131,CPF-0131,CTF-0131,CEF-0131,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0132,Establish corporate travel policies that prioritise lower carbon transport,Supply Chain,Transport and Distribution,CCF-0132,CPF-0132,CTF-0132,CEF-0132,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0133,Provide infrastructure and incentives for low-carbon guest travel,Supply Chain,Transport and Distribution,CCF-0133,CPF-0133,CTF-0133,CEF-0133,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0134,Commission specialist assessments for on-farm emissions hotspots in the top three commodities,Nature & Resources,Nature & Biodiversity – Supplier Engagement,CCF-0134,CPF-0134,CTF-0134,CEF-0134,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0135,Publish a biodiversity policy with named targets and owner,Nature & Resources,Nature & Biodiversity – Biodiversity,CCF-0135,CPF-0135,CTF-0135,CEF-0135,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0136,Ensure compliance with Biodiversity Net Gain (BNG) requirements,Nature & Resources,Nature & Biodiversity – Biodiversity,CCF-0136,CPF-0136,CTF-0136,CEF-0136,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0137,Engage priority suppliers by spend on biodiversity and request a formal response within 90 days,Nature & Resources,Nature & Biodiversity – Biodiversity,CCF-0137,CPF-0137,CTF-0137,CEF-0137,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0138,Undertake a TNFD review,Nature & Resources,Nature & Biodiversity – Biodiversity,CCF-0138,CPF-0138,CTF-0138,CEF-0138,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0139,Fund a named biodiversity protection or restoration programme with annual investment and independent verification,Nature & Resources,Nature & Biodiversity – Biodiversity,CCF-0139,CPF-0139,CTF-0139,CEF-0139,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0140,Complete a water efficiency audit across all kitchen and bathroom fixtures and implement identified measures within 12 months,Nature & Resources,Water Management – Water,CCF-0140,CPF-0140,CTF-0140,CEF-0140,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0141,"Complete a formal water risk assessment for all owned sites and top 10 suppliers by spend, with a mitigation plan for each identified risk",Nature & Resources,Water Management – Water,CCF-0141,CPF-0141,CTF-0141,CEF-0141,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0142,Recycle rainwater and grey water,Nature & Resources,Water Management – Water,CCF-0142,CPF-0142,CTF-0142,CEF-0142,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0143,Self-supply water direct from the wholesale water market,Nature & Resources,Water Management – Water,CCF-0143,CPF-0143,CTF-0143,CEF-0143,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0144,Complete supply chain water mapping covering top 5 commodities by estimated water use,Nature & Resources,Water Management – Water,CCF-0144,CPF-0144,CTF-0144,CEF-0144,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0145,Use high-efficiency shower and faucet aerators,Nature & Resources,Water Management – Water,CCF-0145,CPF-0145,CTF-0145,CEF-0145,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0146,Optimise hot liquor use,Nature & Resources,Water Management – Brewing,CCF-0146,CPF-0146,CTF-0146,CEF-0146,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0147,Optimise CIP wash temperature,Nature & Resources,Water Management – Brewing,CCF-0147,CPF-0147,CTF-0147,CEF-0147,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0148,Reduce water temp in laundry; and line dry linens where possible,Nature & Resources,Water Management – Brewing,CCF-0148,CPF-0148,CTF-0148,CEF-0148,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0149,Conduct a waste characterisation assessment,Nature & Resources,Waste & Circularity – Waste Management,CCF-0149,CPF-0149,CTF-0149,CEF-0149,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0150,"Set a documented food waste reduction target with a baseline year, an interim milestone, and a final target date",Nature & Resources,Waste & Circularity – Waste Management,CCF-0150,CPF-0150,CTF-0150,CEF-0150,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0151,Segregate food waste for composting or Anaerobic Digestion,Nature & Resources,Waste & Circularity – Waste Management,CCF-0151,CPF-0151,CTF-0151,CEF-0151,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0152,Distribute Surplus Food via a credible distribution partner,Nature & Resources,Waste & Circularity – Waste Management,CCF-0152,CPF-0152,CTF-0152,CEF-0152,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0153,Complete a circularity audit covering the top three waste streams by volume and identify at least one viable circular option per stream within 90 days,Nature & Resources,Waste & Circularity – Waste Management,CCF-0153,CPF-0153,CTF-0153,CEF-0153,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0154,Train operational teams to reduce production waste and measure pre/post-training waste performance,Nature & Resources,Waste & Circularity – Waste Management,CCF-0154,CPF-0154,CTF-0154,CEF-0154,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0155,Quantify your food waste,Nature & Resources,Waste & Circularity – Waste Management,CCF-0155,CPF-0155,CTF-0155,CEF-0155,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0156,Extend the life of your cooking oil,Nature & Resources,Waste & Circularity – Waste Management,CCF-0156,CPF-0156,CTF-0156,CEF-0156,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0157,Recycle your used cooking oil at end of life,Nature & Resources,Waste & Circularity – Waste Management,CCF-0157,CPF-0157,CTF-0157,CEF-0157,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0158,Process food waste on-site,Nature & Resources,Waste & Circularity – Waste Management,CCF-0158,CPF-0158,CTF-0158,CEF-0158,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0159,Recycle and responsibly dispose of staff uniforms at end-of-life,Nature & Resources,Waste & Circularity – Waste Management,CCF-0159,CPF-0159,CTF-0159,CEF-0159,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0160,Switch to lower-impact takeaway packaging,Nature & Resources,Waste & Circularity – Packaging,CCF-0160,CPF-0160,CTF-0160,CEF-0160,4,0,4,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0161,"Support and encourage employees in choosing low-carbon commuting alternatives (e.g. cycle to work, public transport)",Supply Chain,Transport and Distribution,CCF-0161,CPF-0161,CTF-0161,CEF-0161,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0162,Transition company owned fleet vehicles to low-carbon alternatives at end of life,Supply Chain,Transport and Distribution,CCF-0162,CPF-0162,CTF-0162,CEF-0162,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0163,Reduce emissions from delivery and distribution by improving fleet efficiency before the journey,Supply Chain,Transport and Distribution,CCF-0163,CPF-0163,CTF-0163,CEF-0163,0,4,0,0,NO,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0164,Reduce emissions from delivery and distribution by improving fleet efficiency during and after the journey,Supply Chain,Transport and Distribution,CCF-0164,CPF-0164,CTF-0164,CEF-0164,0,4,0,0,NO,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0165,Reduce emissions from delivery and distribution by engaging with suppliers,Supply Chain,Transport and Distribution,CCF-0165,CPF-0165,CTF-0165,CEF-0165,0,4,0,0,NO,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0166,Reduce emissions from customer delivery,Supply Chain,Transport and Distribution,CCF-0166,CPF-0166,CTF-0166,CEF-0166,0,4,0,0,NO,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0167,Install EV Charging Infrastructure at Depots and Distribution Hubs,Supply Chain,Transport and Distribution,CCF-0167,CPF-0167,CTF-0167,CEF-0167,0,4,0,0,NO,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0168,Install a filtered water system to avoid bottled water.,Nature & Resources,Water Management – Water,CCF-0168,CPF-0168,CTF-0168,CEF-0168,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0169,Procure water sustainably.,Nature & Resources,Water Management – Water,CCF-0169,CPF-0169,CTF-0169,CEF-0169,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0170,Publish a water reduction policy with targets for water-stressed regions,Nature & Resources,Water Management – Water,CCF-0170,CPF-0170,CTF-0170,CEF-0170,0,4,0,0,NO,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0171,Recycle equipment at end-of-life,Nature & Resources,Waste & Circularity – Waste Management,CCF-0171,CPF-0171,CTF-0171,CEF-0171,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0172,Promote takeaway options for unfinished food,Nature & Resources,Waste & Circularity – Waste Management,CCF-0172,CPF-0172,CTF-0172,CEF-0172,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0173,"Reduce active menu SKU count by a defined %, and measure the impact on food waste per cover over the following 90 days",Nature & Resources,Waste & Circularity – Waste Management,CCF-0173,CPF-0173,CTF-0173,CEF-0173,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0174,Responsibly dispose off or donate furniture and fittings at end-of-life,Nature & Resources,Waste & Circularity – Waste Management,CCF-0174,CPF-0174,CTF-0174,CEF-0174,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0175,Deploy [named technology] to monitor [named waste stream] and use data to reduce [waste type] by [target %] within 12 months,Nature & Resources,Waste & Circularity – Waste Management,CCF-0175,CPF-0175,CTF-0175,CEF-0175,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0176,Join the plastics pact,Nature & Resources,Waste & Circularity – Packaging,CCF-0176,CPF-0176,CTF-0176,CEF-0176,0,4,0,0,NO,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0177,"Design for reusability, removing single-use items and therefore reducing overall waste produced",Nature & Resources,Waste & Circularity – Packaging,CCF-0177,CPF-0177,CTF-0177,CEF-0177,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0178,Install an anaerobic digestion plant to recover biogas,Nature & Resources,Waste & Circularity – Brewing,CCF-0178,CPF-0178,CTF-0178,CEF-0178,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0179,Minimise extract losses and product wastage,Nature & Resources,Waste & Circularity – Brewing,CCF-0179,CPF-0179,CTF-0179,CEF-0179,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
