Requirement_Set_ID,Factor_ID,Card_ID,Initiative_ID,Factor_Bank,Formula_Type,Calculation_Expression,Primary_Output_Metric,Output_Unit_Rule,Scenario_Value_Source,Eligibility_Rule,Coverage_Default,Override_Rule,Missing_Input_Behaviour,Required_Input_Count,Total_Input_Count,Requirement_Status,Lifecycle_Status,Access_Classification,Factor_Availability,Version,Last_Reviewed,Source_Workbook,Source_Row
CRS-0170,CPF-0043,CARD-0170,INIT-0043,Carbon Factors,DISPLAY_PUBLISHED,"Programme abatement = 20,200 MWh × 200–250 kgCO2e/MWh ÷ 1,000 = 4,040–5,050 tCO2e/year",Carbon abatement,Avoided carbon: kgCOe/MWh saved,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,44
CRS-0171,CTF-0043,CARD-0171,INIT-0043,Timing Factors,DISPLAY_PUBLISHED,Simple payback = installed cost ÷ (annual electricity saving + annual maintenance saving),Payback,Payback: years; typically months,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,44
CRS-0172,CEF-0043,CARD-0172,INIT-0043,Efficiency Factors,DISPLAY_PUBLISHED,Lighting saving = baseline lighting kWh × verified reduction rate,Efficiency,Lamp only saving: % LED plus controls: %,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,44
CRS-0173,CCF-0044,CARD-0173,INIT-0044,Cost Factors,DISPLAY_PUBLISHED,"Annual net saving = recovered heat × displaced-fuel tariff − fan energy − £500–£2,000 maintenance",Cost,m² building: new build premium; approximately retrofit Filter maintenance: /year,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,45
CRS-0174,CPF-0044,CARD-0174,INIT-0044,Carbon Factors,DISPLAY_PUBLISHED,"Avoided tCO2e = recovered useful heat × displaced-fuel factor ÷ 1,000 − additional fan or heat-pump emissions",Carbon abatement,Hospitality kitchen cases: kgCOe/year,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,45
CRS-0175,CTF-0044,CARD-0175,INIT-0044,Timing Factors,DISPLAY_PUBLISHED,Simple payback = installed cost ÷ annual avoided fuel cost,Payback,Electric heating displacement: years Gas displacement: years,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,45
CRS-0176,CEF-0044,CARD-0176,INIT-0044,Efficiency Factors,DISPLAY_PUBLISHED,Recovery efficiency = useful heat recovered ÷ recoverable exhaust heat,Efficiency,Plate exchanger: % typical; % maximum Thermal wheel: %; % maximum,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,45
CRS-0177,CCF-0045,CARD-0177,INIT-0045,Cost Factors,DISPLAY_PUBLISHED,Net additive saving should isolate the dosed-site change from the powerflush-only control,Cost,Reported saving: over months at one site Reported saving: across bank branches,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,46
CRS-0178,CPF-0045,CARD-0178,INIT-0045,Carbon Factors,DISPLAY_PUBLISHED,Attributable heating saving = 21.34% dosed result − 7.35% powerflush-only control = 13.99%,Carbon abatement,Reported carbon: tCO over months; > tCO across branches,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,46
CRS-0179,CTF-0045,CARD-0179,INIT-0045,Timing Factors,DISPLAY_PUBLISHED,Simple payback = additive and dosing cost ÷ verified annual gas-cost saving,Payback,Reported payback: < year to months Installation time: minutes/system,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,46
CRS-0180,CEF-0045,CARD-0180,INIT-0045,Efficiency Factors,DISPLAY_PUBLISHED,21.34% − 7.35% = 13.99% attributable saving,Efficiency,Dosed sites: % saving Powerflush only controls: % saving,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,46
CRS-0181,CCF-0046,CARD-0181,INIT-0046,Cost Factors,DISPLAY_PUBLISHED,Delivered heat cost: heat pump = electricity tariff ÷ seasonal COP,Cost,All business electricity: p/kWh All business gas: p/kWh Price ratio: approximately :,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,47
CRS-0182,CPF-0046,CARD-0182,INIT-0046,Carbon Factors,DISPLAY_PUBLISHED,"Avoided tCO2e = [baseline gas kWh × gas factor − delivered heat ÷ seasonal COP × grid factor] ÷ 1,000",Carbon abatement,Whitbread Scope from gas and LPG equipment: >%,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,47
CRS-0183,CTF-0046,CARD-0183,INIT-0046,Timing Factors,DISPLAY_PUBLISHED,Simple payback = incremental installed cost ÷ annual net saving,Payback,Supplier payback benchmark: years,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,47
CRS-0184,CEF-0046,CARD-0184,INIT-0046,Efficiency Factors,DISPLAY_PUBLISHED,Heat-pump heat cost = 24.14p ÷ 3 = 8.05p/kWh; gas heat cost = 5.17p ÷ 85% = 6.08p/kWh,Efficiency,Heat pump at COP : approximately p/kWh heat,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,47
CRS-0185,CCF-0047,CARD-0185,INIT-0047,Cost Factors,DISPLAY_PUBLISHED,Annual electricity saving = measured kWh saving × electricity tariff,Cost,Smart controls: approximately kWh; /year Ambient cooling: approximately /month versus /month,PUBLISHED_DISPLAY_VALUE,Pubs/Bars/Breweries,FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,48
CRS-0186,CPF-0047,CARD-0186,INIT-0047,Carbon Factors,DISPLAY_PUBLISHED,"5,126 tCO2 ÷ 1,700 outlets = 3.02 tCO2/outlet-year",Carbon abatement,Estate carbon saving: tCO/year,PUBLISHED_DISPLAY_VALUE,Pubs/Bars/Breweries,FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,48
CRS-0187,CTF-0047,CARD-0187,INIT-0047,Timing Factors,DISPLAY_PUBLISHED,Simple payback = installed cost ÷ (electricity saving + beer-waste saving + maintenance saving),ROI,Controls: < year typical; approximately months in Greene King rollout,PUBLISHED_DISPLAY_VALUE,Pubs/Bars/Breweries,FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,48
CRS-0188,CEF-0047,CARD-0188,INIT-0047,Efficiency Factors,DISPLAY_PUBLISHED,Per-unit saving = baseline kWh − controlled kWh,Efficiency,Site energy reduction: % across + pubs,PUBLISHED_DISPLAY_VALUE,Pubs/Bars/Breweries,FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,48
CRS-0189,CCF-0048,CARD-0189,INIT-0048,Cost Factors,DISPLAY_PUBLISHED,Operating-cost change = electric equipment kWh × electricity tariff − displaced gas kWh × gas tariff,Cost,Electricity: p/kWh Gas: p/kWh Unit price ratio: approximately :,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,49
CRS-0190,CPF-0048,CARD-0190,INIT-0048,Carbon Factors,DISPLAY_PUBLISHED,"Avoided tCO2e = [displaced gas kWh × gas factor − replacement electricity kWh × grid factor] ÷ 1,000",Carbon abatement,Scope combustion removed: % of displaced gas/LPG emissions,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,49
CRS-0191,CTF-0048,CARD-0191,INIT-0048,Timing Factors,DISPLAY_PUBLISHED,Simple payback = incremental installed cost ÷ annual net saving,Payback,Public hospitality payback: not disclosed,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,49
CRS-0192,CEF-0048,CARD-0192,INIT-0048,Efficiency Factors,DISPLAY_PUBLISHED,Deployment growth = current-year completed units − prior-year completed units,Efficiency,M&B FY: kitchens electrified; sites fully off gas,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,49
CRS-0193,CCF-0049,CARD-0193,INIT-0049,Cost Factors,DISPLAY_PUBLISHED,"Installed value/site = £5.4m ÷ 120 = £45,000; first-year £/tCO2 = £5.4m ÷ 600 tCO2 = £9,000/tCO2",Cost,Whitbread hotel decarbonisation spend: m (/) Hall & Woodhouse pledge: m,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,50
CRS-0194,CPF-0049,CARD-0194,INIT-0049,Carbon Factors,DISPLAY_PUBLISHED,Programme abatement = sum of verified funded-project savings; 600 ÷ 120 = 5 tCO2/site-year,Carbon abatement,Standalone investment abatement: zero,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,50
CRS-0195,CTF-0049,CARD-0195,INIT-0049,Timing Factors,DISPLAY_PUBLISHED,Programme payback = total funded cost ÷ verified annual portfolio benefit,Payback,Low cost measures: < year payback,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,50
CRS-0196,CEF-0049,CARD-0196,INIT-0049,Efficiency Factors,DISPLAY_PUBLISHED,Delivery rate = completed sites or units ÷ annual programme target,Efficiency,Solar estate: sites Solar installed in one year: sites,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,50
CRS-0197,CCF-0050,CARD-0197,INIT-0050,Cost Factors,DISPLAY_PUBLISHED,Retrofit cost = treated area × £10–£20/m²,Cost,Indicative fabric retrofit: /m² Asset efficiency payback including plant room insulation: years,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,51
CRS-0198,CPF-0050,CARD-0198,INIT-0050,Carbon Factors,DISPLAY_PUBLISHED,Heating reduction = (adjusted baseline kWh − post-retrofit kWh) ÷ adjusted baseline kWh,Carbon abatement,Weather normalised heating reduction: %,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,51
CRS-0199,CTF-0050,CARD-0199,INIT-0050,Timing Factors,DISPLAY_PUBLISHED,Fabric-only payback = fabric-specific installed cost ÷ fabric-attributable annual saving,ROI,Combined fabric lighting and controls package: years,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,51
CRS-0200,CEF-0050,CARD-0200,INIT-0050,Efficiency Factors,DISPLAY_PUBLISHED,Thermal-satisfaction rate = satisfied respondents ÷ surveyed respondents,Efficiency,Listed buildings: approximately Post retrofit thermal satisfaction: >%,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,51
CRS-0201,CCF-0051,CARD-0201,INIT-0051,Cost Factors,DISPLAY_PUBLISHED,"BMS payback = £116,000 ÷ £22,000 = 5.27 years; occupancy-control payback = £48,000 ÷ £9,000 = 5.33 years",Cost,BMS programme: cost; /year saving Occupancy controls: cost; /year saving,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,52
CRS-0202,CPF-0051,CARD-0202,INIT-0051,Carbon Factors,DISPLAY_PUBLISHED,Programme abatement = sum of verified measure-level electricity and gas savings × applicable historical factors,Carbon abatement,Total BMS programme: approximately tCOe/year,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,52
CRS-0203,CTF-0051,CARD-0203,INIT-0051,Timing Factors,DISPLAY_PUBLISHED,"£116,000 ÷ £22,000/year = 5.27 years; £48,000 ÷ £9,000/year = 5.33 years",Payback,BMS programme payback: years Occupancy control payback: years,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,52
CRS-0204,CEF-0051,CARD-0204,INIT-0051,Efficiency Factors,DISPLAY_PUBLISHED,Site saving rate = (adjusted baseline kWh − actual kWh) ÷ adjusted baseline kWh,Efficiency,Data interval: half hourly Profile analysis sample: buildings,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,52
CRS-0205,CCF-0052,CARD-0205,INIT-0052,Cost Factors,DISPLAY_PUBLISHED,"Installed value/site = £5.4m ÷ 120 = £45,000; owned-system cost = capacity (kWp) × installed £/kWp",Cost,Third party programme: m across pubs; approximately /site; zero operator capex Hotel system:,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,53
CRS-0206,CPF-0052,CARD-0206,INIT-0052,Carbon Factors,DISPLAY_PUBLISHED,"600 ÷ 120 = 5 tCO2/site-year; future abatement = self-consumed solar kWh × current grid factor ÷ 1,000",Carbon abatement,Marston’s: tCO/year across pubs; approximately tCO/site year,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,53
CRS-0207,CTF-0052,CARD-0207,INIT-0052,Timing Factors,DISPLAY_PUBLISHED,Simple payback = installed cost ÷ annual electricity benefit; 1 ÷ 20% = 5 years,Payback,Owned pub scale payback: years Hotel scale payback: approximately years gross,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,53
CRS-0208,CEF-0052,CARD-0208,INIT-0052,Efficiency Factors,DISPLAY_PUBLISHED,Self-supply = self-consumed solar kWh ÷ site electricity kWh,Efficiency,Trading site self supply: % Brewery self supply: %,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,53
CRS-0209,CCF-0053,CARD-0209,INIT-0053,Cost Factors,DISPLAY_PUBLISHED,Indicative annual saving = eligible electricity cost × verified saving rate,Cost,Screening threshold: > annual electricity spend Independent site specific cost: quote required,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,54
CRS-0210,CPF-0053,CARD-0210,INIT-0053,Carbon Factors,DISPLAY_PUBLISHED,"Avoided tCO2e = verified post-installation kWh saving × current grid factor ÷ 1,000",Carbon abatement,Named case: tCO/year,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,54
CRS-0211,CTF-0053,CARD-0211,INIT-0053,Timing Factors,DISPLAY_PUBLISHED,Simple payback = installed quote ÷ verified annual bill saving,Payback,Public hospitality payback: not disclosed,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,54
CRS-0212,CEF-0053,CARD-0212,INIT-0053,Efficiency Factors,DISPLAY_PUBLISHED,Eligible-load saving = voltage-dependent kWh × measured reduction rate,Efficiency,Voltage independent load: % Planning range for efficient sites: %,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,54
CRS-0213,CCF-0054,CARD-0213,INIT-0054,Cost Factors,DISPLAY_PUBLISHED,Annual PPA cost = contracted MWh × strike price,Cost,New generation benchmark: approximately /MWh Existing asset corporate PPA range: approximately /MWh,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,55
CRS-0214,CPF-0054,CARD-0214,INIT-0054,Carbon Factors,DISPLAY_PUBLISHED,"Market-based reduction = contracted kWh × (previous supplier factor − qualifying contract factor) ÷ 1,000",Carbon abatement,Certificate tariff: market based Scope reduction; location based physical reduction zero,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,55
CRS-0215,CTF-0054,CARD-0215,INIT-0054,Timing Factors,DISPLAY_PUBLISHED,Contract value = avoided spot-market cost ± contract premium over the agreement term,Payback,Certificated supply partnership: approximately years,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,55
CRS-0216,CEF-0054,CARD-0216,INIT-0054,Efficiency Factors,DISPLAY_PUBLISHED,Route share = qualifying kWh for each route ÷ total electricity demand,Efficiency,Primary KPI: contracted renewable share by route,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,55
CRS-0217,CCF-0055,CARD-0217,INIT-0055,Cost Factors,DISPLAY_PUBLISHED,Annual capacity revenue = contracted flexible capacity (kW) × clearing price (£/kW-year),Cost,T /: /kW year T /: /kW year Older aggregator claims: /kW year,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,56
CRS-0218,CPF-0055,CARD-0218,INIT-0055,Carbon Factors,DISPLAY_PUBLISHED,"Net tCO2e = shifted or curtailed kWh × (event-period grid factor − rebound-period factor) ÷ 1,000",Carbon abatement,Published initiative tCOe saving: not available,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,56
