Case_ID,Initiative_ID,Initiative_Name,Sort_Order,Title,Narrative,Source_Count,Source_Workbook,Source_Row
CASE-0038,INIT-0038,Enable renewable electricity procurement under lease and franchise arrangements,1,GreenPark / Energy & Carbon Management Hotel Operator Case,"Hotels: Renewable electricity procurement – UK national hotel operator
A national hotel operator moved 75% of electricity demand to certified renewable supply backed by REGOs, contributing to a 22% reduction in total energy consumption and an estimated £1.1 million annual saving. [1]

Hotels: 100% renewable electricity procurement – RIU Hotels Spain
A long-term contract supplies about 70 GWh per year of 100% renewable electricity to 27 hotels and more than 11,000 rooms, avoiding 30,000 tCO₂ per year. [2]",2,Consolidate.xlsx,39
CASE-0039,INIT-0039,"Agree landlord-tenant decarbonisation plans with actions, funding and accountability",1,Better Buildings Partnership York House Case,"Cross-sector: Funded landlord-tenant decarbonisation plan – York House
The landlord and occupier built a common evidence base through automatic 15-minute monitoring, formed an Environmental Management Group and assigned actions through an annual plan, enabling responsibilities and benefits to be split between the parties. The programme reduced annual energy by 1.1 million kWh, saving £63,000 and avoiding 416 tCO₂. [1]

Cross-sector: Green lease and funded refurbishment plan – Hollywood House
A green lease and memorandum of understanding allocated the scope of works, capital contributions, savings and payback responsibilities for a £3.2 million refurbishment, converting cooperation into a funded delivery plan. The completed works reduced energy by 45%, carbon by 55% and water use by 55%. [2]",2,Consolidate.xlsx,40
CASE-0040,INIT-0040,Set and monitor energy-performance standards for franchisees,1,U.S. DOE Wendy’s Franchisee Case,"QSR Franchise: Energy-performance standards – Wendy’s Carlisle LLC
Applying leading-edge HVAC and kitchen technologies reduced energy use by 21% across 159 restaurants; 47 franchisees representing 2,170 restaurants committed to a 20% reduction per transaction over 10 years. [1]

QSR Network: Green restaurant standards – McDonald’s China
Scaling LEED restaurant design standards across more than 5,000 certified locations by May 2026 standardised lower-impact materials and energy-efficient building systems across the network. [2]",2,Consolidate.xlsx,41
CASE-0041,INIT-0041,Complete an Energy Health Check,1,"Source: JRP Solutions, ESOS energy audit and compliance - BMI Healthcare case study (consultancy/supplier source, unofficial)","A scaled ESOS audit of six BMI Healthcare hospitals covering 94% of energy use identified 17,560 MWh of annual savings, 12.5% of consumption, worth £1.05m a year at an average payback of 2.2 years.",2,Consolidate.xlsx,42
CASE-0042,INIT-0042,Install battery storage (BESS),1,"Sources: edie.net, 'Premier Inn installs UK's first hotel-based energy storage unit', January 2019 (third-party trade press, unofficial - not a company disclosure)","Premier Inn Edinburgh Park installed a 200 kWh / 100 kW battery with E.ON at a 200-room hotel, charged from rooftop solar and discharging at least two hours daily, with E.ON operating it for grid-services revenue.",2,Consolidate.xlsx,43
CASE-0043,INIT-0043,Upgrade to LED lighting with optimised design and controls,1,"Source: SaveMoneyCutCarbon, Greene King distribution centre LED case study (installer/supplier source, unofficial)","Travelodge retrofitted LED across 388 UK hotels between 2017 and 2020, reported to save c.20.2 GWh a year (c.52 MWh per hotel); Greene King's Abingdon distribution centre retrofit saves nearly £15,000 a year.",2,Consolidate.xlsx,44
CASE-0044,INIT-0044,Install heat/energy recovery ventilation units,1,"Source: Whitbread PLC, 'First all-electric Premier Inn hotel powered entirely by renewables opens in Swindon', 16 October 2023 (official, first-party)","Whitbread's all-electric 195-bedroom Premier Inn Swindon uses mechanical ventilation with heat recovery alongside an air source heat pump, the standard for all new-builds from 2026; Fuller's recovers cellar-cooling waste heat for hot water at five sites.",3,Consolidate.xlsx,45
CASE-0045,INIT-0045,Deploy gas boiler additives,1,"Source: CIBSE Journal, 'The winning formula of CIBSE award-winner EndoTherm' (professional-institution journal, third-party editorial; carries the Energy Saving Trust / Atega matched-control trial)","Fuller's dosed its heating systems with the EndoTherm additive as part of a winter gas reduction programme, and Whitbread confirms additive use across its estate. Adoption is evidenced; neither discloses a measured saving.",2,Consolidate.xlsx,46
CASE-0046,INIT-0046,Install air or ground source heat pumps,1,"Sources: Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated)","Whitbread replaces ageing gas boilers with air source heat pumps as refurbishment completes, reaching 2,300 low-carbon rooms by March 2026; Mitchells & Butlers took 24 sites fully off gas in FY2025, up from 5.",4,Consolidate.xlsx,47
CASE-0047,INIT-0047,Utilise cellar cooling across estates,1,"Source: Punch Pubs & Co, Sustainability: Planet (official, first-party)","Greene King installed 13,052 cellar and dispense control units, reported to save 22 million kWh in year one at c.14-month payback; Punch Pubs cut site energy 8-11% across 300+ pubs with the same class of controls.",3,Consolidate.xlsx,48
CASE-0048,INIT-0048,Replace gas-fired heating and catering equipment with electric alternatives,1,"Source: Mitchells & Butlers plc, Respect for the Planet, and Annual Report 2025 (official, first-party)","Mitchells & Butlers electrified 100 kitchens in FY2025 (from 60) and took 24 sites fully off gas (from 5); Whitbread defines a low-carbon room as no gas or LPG plus REGO-backed power, reaching 2,300 by March 2026.",6,Consolidate.xlsx,49
CASE-0049,INIT-0049,Invest in energy-efficiency and renewables infrastructure,1,"Source: The Morning Advertiser, 'Marston's installs solar at 120 pubs to secure energy prices', 12 May 2025 (trade press reporting a company announcement, third-party)","Marston's rolled out £5.4m of solar across 120 pubs financed by Atrato under a 25-year PPA at no capital cost, c.30,000 kWh per site; Whitbread invested £2.1m in hotel decarbonisation in 2025/26.",2,Consolidate.xlsx,50
CASE-0050,INIT-0050,"Upgrade building-fabric thermal performance (insulation, glazing, draught-proofing)",1,"Source: Post-evaluation on energy saving reconstruction for hotel buildings, a case study in Jiangsu, China - Energy and Buildings (peer-reviewed academic, independent; non-UK climate zone)","A Jiangsu hotel retrofit combining fabric, lighting and controls cut energy by over 25% at 2.55-year payback; Whitbread reports a 4.4-year payback on asset efficiency including plant room insulation, a narrower scope than whole-building fabric.",5,Consolidate.xlsx,51
CASE-0051,INIT-0051,Install smart sub-metering and a building management system (BMS),1,"Source: DECC (UK Department of Energy & Climate Change), 'Energy & Emissions Reduction: Case Studies', July 2012 (official, first-party UK government publication)",DECC's sub-metering plus an actively managed BMS at 3 Whitehall Place cut c.130 tCO2e a year for £116k at just over 5-year payback; Punch Pubs cut consumption 10-15% after installing 30-minute metering across 300+ pubs.,6,Consolidate.xlsx,52
CASE-0052,INIT-0052,Install on-site solar PV,1,"Source: The Morning Advertiser, 'Marston's installs solar at 120 pubs to secure energy prices', 12 May 2025 (trade press reporting a company announcement, third-party)","Marston's installed solar at 120 pubs for £5.4m financed by Atrato, c.30,000 kWh per site meeting 15-20% of pub demand and 600 tCO2e in year one; St Austell Brewery reports 40% on-site generation at Hare Brewery.",5,Consolidate.xlsx,53
CASE-0053,INIT-0053,Install voltage optimisation equipment,1,"Source: Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated)","Whitbread reports voltage optimised across its c.840-hotel estate but publishes no saving, cost or coverage. The only measured result located is 7.52% and 40 tCO2e at Kinnertons, a food manufacturer, below the marketed 8-12% range.",2,Consolidate.xlsx,54
CASE-0054,INIT-0054,Procure renewable electricity via PPAs or green tariffs,1,Sources,"Marston's contracted £5.4m of on-site solar across 120 pubs with Atrato, buying 100% of rooftop output at a price fixed for 25 years; Whitbread's REGO-backed renewable partnership with EDF runs for three years.",4,Consolidate.xlsx,55
CASE-0055,INIT-0055,Enroll sites in demand-side response and flexibility schemes,1,"Source: NESO (National Energy System Operator, EMR Delivery Body), Capacity Market auction results (official, first-party auctioneer)",No UK hospitality operator has disclosed participation or revenue. NESO's T-1 auction for 2026/27 cleared at £5.00/kW/yr with 25% of capacity going to demand-side response — roughly £500 a year for 100 kW before aggregator fees.,2,Consolidate.xlsx,56
CASE-0056,INIT-0056,Run staff energy-engagement programmes,1,"Source: Fuller, Smith & Turner P.L.C., Journey to Net Zero (official, first-party company website; confirmed live August 2026)","Punch Pubs sets a night-time baseload incentive target of as little as 2 kWh per hour, verifiable through its 30-minute metering; Fuller's built an in-house manager tool and training programme but discloses no measured saving.",2,Consolidate.xlsx,57
CASE-0057,INIT-0057,Optimise heating controls,1,"Source: Stonegate Group, FY25 circular economy and sustainability release (official, first-party; confirmed live August 2026)","Stonegate reports energy down 18% since 2023 across c.4,000 pubs, attributed substantially to optimisation and smart controls rather than plant replacement; Whitbread validates control changes against live smart-meter data under ISO 50001.",3,Consolidate.xlsx,58
CASE-0058,INIT-0058,Improve building EPC ratings to B or above,1,"Source: Punch Pubs & Co, Sustainability: Planet (official, first-party; confirmed live August 2026, claims verified against page text)","Punch Pubs reports 87.5% of its England and Wales pubs already at EPC C, targeting all by end-2026 — the only estate-wide figure located; Whitbread achieved EPC A at 47 of 62 hotels opened since 2020, all new build or major conversion.",2,Consolidate.xlsx,59
CASE-0059,INIT-0059,Connect sites to low-carbon heat networks or solar thermal,1,"Sources: DESNZ, 'Heat Network Zoning: government response to the 2023 consultation', January 2026 (official, first-party; two SIs anticipated Spring 2026, developer-triggered connection requirement, 100 MWh equivalent to a medium-large office block, 7% of England heat demand / 27 TWh by 2035)",No UK hospitality operator case study located. DESNZ heat network zoning in England may require connection of non-domestic buildings above 100 MWh annual heat demand within designated zones; Ofgem began regulating heat networks on 27 January 2026.,6,Consolidate.xlsx,60
CASE-0060,INIT-0060,Procure certified green gas or biomethane,1,"Sources: Green Gas Certification Scheme, Certificates and Additionality pages (scheme operator - authoritative primary source for UK green gas certification, certificate prices and the Production Support label)","No UK hospitality operator discloses green gas or biomethane procurement. The Green Gas Certification Scheme reports most certificates transacting at £5/MWh and above, with 4.2 TWh retired in 2025 across 130 biomethane plants.",10,Consolidate.xlsx,61
CASE-0061,INIT-0061,Certify sites to ISO 50001 energy management,1,"Source: Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated)",Whitbread certified its German operations to ISO 50001 in 2025/26 via a support centre plus a representative sample of seven hotels — a scoping precedent for multi-site estates. A US DOE study of nine certified facilities found 1.7-year payback.,4,Consolidate.xlsx,62
CASE-0062,INIT-0062,Install power factor correction,1,"Sources: BEAMA, 'Guide to Power Factor Correction' (trade association primary)","COVERAGE IS EVIDENCED ONLY BY A SUPPLIER, AT ONE SITE — NO OPERATOR PUBLISHES ITS POWER FACTOR PERFORMANCE. One UK hotel site is documented with correction installed and metered, within a supplier-described 800-location estate. Operator sustainability/ESG reporting discloses no power factor achieved, kVAr installed, coverage or reactive charges removed across pubs, hotels, restaurants, QSR, contract catering or leisure: installation is evidenced, estate-level performance is not.

BEAMA GUIDANCE (trade association, UK electrical infrastructure manufacturers)
BEAMA's Guide to Power Factor Correction gives three benefit routes: cutting maximum demand (kVA), which lowers demand and availability charges on a maximum-demand tariff; cutting current in cables and equipment, reducing voltage drop and copper (I2R) losses and so kWh; and allowing lower-rated equipment on new or upgraded supplies. Worked example: 240 kVAr gives a 326A per phase current reduction. Beneficiary: operators with inductive loads such as motors, including air conditioning compressors, on tariffs with an authorised supply capacity charge and a reactive penalty.
Sources: BEAMA 'Guide to PFC': https://www.beama.org.uk/static/uploaded/080037a7-4dd8-4776-a6a5abb0988269ba.pdf | BEAMA 'PFC': https://www.beama.org.uk/static/uploaded/efbbfc81-0d8f-4947-9bde5b5a3366d1b4.pdf

CHARGING MECHANISM — INDEPENDENT GUIDANCE
Poor power factor raises DUoS and capacity charges; correction supplies reactive power locally rather than across the network, cutting DUoS charges, releasing capacity to surrender for a lower capacity charge or to serve new load without a DNO increase, and reducing loading, losses, voltage drop and loss-related carbon. UK tariff thresholds sit typically around 0.95, some suppliers penalising from 0.90-0.92.
Source: Energy Advice Hub (independent): https://energyadvicehub.org/carbon-reduction-glossary/power-factor-correction/

WHY HOSPITALITY QUALIFIES: cellar cooling, refrigeration compressors, kitchen extract and air handling fans, lifts and HVAC are inductive motor loads. Member reactive-charge exposure is NOT evidenced and is the member ask.

THE ONLY HOSPITALITY DATAPOINT IS SUPPLIER-AUTHORED; THE QUOTED-VS-ACHIEVED SPREAD IS THE PART WORTH READING: one 24/7 UK hotel site reports 11.2% total electricity reduction vs 7% quoted, 32,954 kWh vs 20,957 kWh, GBP 7,579.47 saved annually vs GBP 4,820, and 6.4-month payback vs 10.1 months. High demand from HVAC, kitchen equipment, refrigeration, lifts and lighting, with onsite solar PV complicating the baseline; the supplier cites 8.5% savings in non-solar hours as evidence it was not a solar artefact. Estate-wide projection claims 26.3m kWh, GBP 6.0m and 5,600 tCO2 annually.
Source: Emissis, 'Case Study - National Hotel Chain (U.K.)', Dec 2025 (SUPPLIER MARKETING, operator anonymous): https://emissis.com/wp-content/uploads/2025/12/New-CASE-STUDY-National-Hotel-Chain-U.K.-Final.pdf",4,Consolidate.xlsx,63
CASE-0063,INIT-0063,Build to BREEAM 'Very Good' or above,1,"Sources: Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated - current vintage)","BREEAM attainment across a new-build programme - Whitbread

Reports that of the 62 hotels opened in the UK and Ireland since 2020, 49 were certified to a BREEAM rating of Very Good or higher, including ten rated Excellent and one rated Outstanding, with one new-build certified Excellent and another Very Good in 2025/26, and fifteen newly built hotels certified under sustainable building standards including BREEAM, LEED or DGNB since 2020; BREEAM Excellent has been targeted for all future UK and Ireland developments since 2022. A separate design-stage decision on one London scheme - lowering an existing slab rather than breaking out a concrete deck - avoided an estimated 650 tCO2e of embodied carbon. QUOTE THE ATTAINMENT RATE, NOT THE COUNT:  prior reporting measured a different population (127 hotels since 2018, 78% achieving Very Good or above) against 49 of 62 since 2020, or 79%. The counts are not a time series, but the rate is stable across both - which is the real finding.

Sources:  Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated - current vintage): https://cdn.whitbread.co.uk/media/2026/05/Whitbread-PLC-Sustainability-Report-2025_26.pdf

Whitbread PLC, ESG Report 2024/25 (official, first-party - superseded for BREEAM counts, retained only for the restatement comparison): https://cdn.whitbread.co.uk/media/2025/05/Whitbread-PLC-Environmental-Social-and-Governance-Report-2024-25.pdf

BRE / BREEAM, 'Delivering Sustainable Buildings: Savings and Payback - Office Case Study for BREEAM UK New Construction 2018', Christopher Ward (BRE) and Adam Mactavish (Currie & Brown), (c) BRE Global Ltd 2020 (scheme owner primary, first-party): https://files.bregroup.com/breeam/briefingpapers/Delivering-Sustainable-Buildings-Savings-and-Payback-Office-Case-Study-BREEAM-NC-2018_BREEAM_BRE_115359_BriefingPaper.pdf

BRE / BREEAM, 'Briefing Paper: The Value of BREEAM', November 2016 (scheme owner primary): https://files.bregroup.com/breeam/briefingpapers/BREEAM-Briefing-Paper----The-Value-of-BREEAM--November-2016----123864.pdf

Faithful+Gould, 'BREEAM: why we need to change our perception of what it costs' (cost consultancy, third-party professional view): https://www.fgould.com/worldwide/articles/breeam-why-we-need-change-our-perception/

Designing Buildings, 'BREEAM value increases while costs reduce' (industry wiki summarising BRE and third-party research; source of the 2005 7% figure, the DLA Piper finding and the green bond): https://www.designingbuildings.co.uk/wiki/BREEAM_value_increases_while_costs_reduce

BRE with Currie & Brown - cost research conducted by scheme owner

Modelled a speculative five-storey town or city centre office across four certification scenarios and found that for both 'Very Good' scenarios the BREEAM-related capital cost uplift over the baseline building's overall construction cost was less than 0.25%, and for both 'Excellent' scenarios less than 0.75%, with the update from the 2014 to the 2018 scheme having very little impact on additional capital costs. On a GBP 1m refurbishment, 'Very Good' is therefore under GBP 2,500. CITE IT CORRECTLY: the scheme version is 2018 but the paper was published in 2020, and the cost model is an OFFICE, not a hospitality asset.

Source: Level Workspace, UK green certification comparison (third-party commercial site aggregating cited research - verify individual studies before external quotation): https://www.levelworkspace.com/post/green-building-certifications-uk-guide

QSR - McDonald's UK, Market Drayton: certified to a net zero carbon buildings framework and built as a replicable blueprint
Designed a new-build restaurant to net zero emissions standard in both construction and everyday operation, certified against the UK Green Building Council Net Zero Carbon Buildings Framework for construction (modules A1-A5) and operational energy (module B6), using over 250 sqm of recycled materials including cladding made from recycled white goods and IT equipment, British sheep's wool insulation and a patio surface made from recycled tyres, with on-site solar panels and two wind turbines generating renewable power for use on site; McDonald's calculates that rolling out the Market Drayton learnings to a standard restaurant superstructure could save 15% in construction emissions, has since opened further net zero restaurants at Louth (2022) and Lowestoft (2023), and has set a target of net zero emissions for all 1,400 UK restaurants and offices by 2030. The transferable insight for a multi-site operator is the deliberate design intent: the building retains the standard brand look and feel specifically so it can be replicated as a standard specification rather than remaining a flagship.

CAVEAT: the certification covers the BUILDING - construction and operational energy - and does not cover emissions associated with the food served. It is a building-standard exemplar, not a whole-business net zero claim.

Sources: McDonald's UK, 'Market Drayton' - Our Plan for Change (official, first-party): https://www.mcdonalds.com/gb/en-gb/our-plan-for-change/great-restaurants/market-drayton.html

McDonald's UK, 'UK Net Zero Carbon' newsroom release, 10 December 2021 (official, first-party): https://www.mcdonalds.com/gb/en-gb/newsroom/article/uk_net_zero_carbon.html",9,Consolidate.xlsx,64
CASE-0064,INIT-0064,Allocate responsibility at Board level,1,ScienceDirect – Journal of Accounting & Economics,"Board Risk Oversight – International Study. Research covering 377 publicly traded firms across 33 countries found that companies with more extensive Board risk oversight were more likely to establish environmental and social accountability, set environmental targets, implement environmental policies and issue E&S reports. Greater Board risk oversight was also associated with lower monetised environmental costs, providing evidence of an association between active Board oversight and stronger environmental governance and performance.",1,Consolidate.xlsx,65
CASE-0065,INIT-0065,Appoint a sustainability lead or assign executive responsibility for sustainability,1,ScienceDirect – Journal of Environmental Management,"Executive Sustainability Leadership – Empirical Evidence. A 2026 Journal of Environmental Management study examining 1,259 European firms found that substantively empowered Chief Sustainability Officer appointments improved corporate environmental performance, whereas symbolic appointments produced no environmental-performance gains and were associated with increased greenwashing. This indicates that executive sustainability leadership is most effective when accompanied by genuine authority and organisational influence. Corporate examples: Cargill appointed Pilar Cruz as Chief Sustainability Officer in 2021 and subsequently reported exceeding its 2025 operational emissions-reduction target. Mastercard, under executive-level sustainability leadership, reported a 40% reduction in Scope 3 emissions against its 2016 baseline while continuing to grow its business. These corporate examples demonstrate implementation and subsequent performance rather than establishing that executive appointments alone caused the reductions.",2,Consolidate.xlsx,66
CASE-0066,INIT-0066,Establish a Sustainability Committee,1,Wiley – Business Strategy and the Environment,"Sustainability Committees and Carbon Performance – International Study. Research examining 305 listed companies in France, Germany, the UK and Japan between 2015 and 2021 found that the presence of a sustainability committee was significantly associated with lower Scope 1 carbon-emissions intensity. Additional analysis found significant associations with lower Scope 1 and Scope 2 emissions in low-carbon sectors.",1,Consolidate.xlsx,67
CASE-0067,INIT-0067,Link executive remuneration to sustainability and climate performance,1,Marks & Spencer – Plan A,"M&S – Plan A. Marks & Spencer incorporated sustainability into executive incentives, with every Executive Director having part of their bonus linked to Plan A delivery. M&S also reported approximately £160 million of annual net business benefit from Plan A in 2014/15. The case demonstrates integration of sustainability into executive remuneration, although the financial benefit cannot be attributed specifically to the incentive mechanism.",1,Consolidate.xlsx,68
CASE-0068,INIT-0068,Engage your shareholders around climate risks and opportunities,1,SSE – Enhancing Climate Engagement with Shareholders,"Shareholder Climate Engagement – SSE. SSE worked closely with Climate Action 100+ during 2020/21 and subsequently put its proposal to become Net Zero across Scope 1, 2 and 3 emissions by 2050 or sooner to shareholders. The resolution received 99.96% support at its 2021 AGM. SSE subsequently established a framework enabling shareholders to regularly consider and provide advisory approval of its Net Zero Transition Report.",1,Consolidate.xlsx,69
CASE-0069,INIT-0069,Regularly review sustainability performance at senior management and Board level.,1,Hilton – Environmental and Social Impact,"Hilton – LightStay Performance Management Example. Hilton uses LightStay as a brand-standard system through which hotels measure and monitor environmental performance, including energy, carbon, water and waste. Hilton reported more than US$1 billion in cumulative utility savings and a 44% reduction in carbon-emissions intensity following implementation of LightStay. This supports the value of systematic measurement and performance monitoring rather than establishing that Board review itself caused the results.",1,Consolidate.xlsx,70
CASE-0070,INIT-0070,Develop a sustainability strategy informed by a double materiality assessment.,1,"The Accounting Review – Khan, Serafeim & Yoon.","Material Sustainability Issues – Empirical Evidence. A peer-reviewed study found that firms with strong performance on financially material sustainability issues significantly outperformed firms with poor performance on those issues, whereas strong performance on immaterial sustainability issues did not produce the same result. This supports focusing sustainability strategy and resources on material issues, although the study specifically assesses financial materiality rather than double materiality.",1,Consolidate.xlsx,71
CASE-0071,INIT-0071,Calculate your baseline GHG footprint.,1,,"Hilton – LightStay. Hilton introduced LightStay to systematically measure and manage energy, carbon, water and waste performance across its hotel portfolio. Hilton reported a 44% reduction in carbon-emissions intensity and more than US$1bn in cumulative utility-cost savings following LightStay's introduction. This illustrates how systematic environmental measurement and monitoring can support performance management and efficiency identification, rather than proving that baseline measurement alone caused these outcomes.",0,Consolidate.xlsx,72
CASE-0072,INIT-0072,Use the TCFD framework to review and disclose your climate-related risks and opportunities.,1,Accounting for Sustainability – SSE TCFD Implementation.,"SSE – TCFD Implementation. SSE implemented the TCFD recommendations through activities including climate scenario analysis, quantification of climate-related risks and opportunities, and enhancement of governance and management of climate issues. The example demonstrates how TCFD analysis can be incorporated into organisational climate-risk management and strategic decision-making.",1,Consolidate.xlsx,73
CASE-0073,INIT-0073,Develop a Net Zero Strategy.,1,Whistl ESG Annual Report 2023.,"Whistl – Net Zero Route Map. Whistl developed a data-driven decarbonisation strategy using its baseline carbon footprint, stakeholder engagement, assessment of relevant external drivers, science-based Net Zero target modelling, and development of KPIs and milestones. The resulting route map includes near-term reductions and a commitment to achieve Net Zero across Scope 1, 2 and 3 emissions by 2045.",1,Consolidate.xlsx,74
CASE-0074,INIT-0074,Set a Net Zero target.,1,M&S ESG Report 2025.,M&S – Net Zero and Interim Targets. M&S has an ambition to become Net Zero across its value chain by 2040 and has established interim science-based targets. Its 2025 ESG Report states a target to reduce absolute Scope 1 and 2 emissions by 55% by FY2030 from a FY2017 baseline and reports a 33% reduction against that baseline for the reported period. This demonstrates the use of a long-term Net Zero ambition supported by measurable interim targets and progress reporting; it does not establish that target-setting alone caused the emissions reduction.,1,Consolidate.xlsx,75
CASE-0075,INIT-0075,Validate targets through SBTi.,1,,"SBTi Business Impact Research. SBTi surveyed 171 companies with validated targets alongside a review of 22 studies. 91% reported an overall positive business impact, 80% improved strategic cohesion and long-term vision, 80% strengthened investor relations, 95% enhanced reputation and 86% reported accelerated decarbonisation. This directly supports the value of establishing independently validated science-based targets.",1,Consolidate.xlsx,76
CASE-0076,INIT-0076,Integrate sustainability objectives and KPIs into business planning.,1,,"M&S – Plan A Integration. M&S reports that Plan A was integrated throughout the business, with every part of the business engaged and Executive Directors having part of their bonus linked to Plan A delivery. M&S reported £160m of net business benefit in 2014/15 from Plan A. This provides a practical example of sustainability being embedded across business operations, although the £160m benefit should not be attributed solely to the planning/integration mechanism.",1,Consolidate.xlsx,77
CASE-0077,INIT-0077,Develop a long-term decarbonisation funding plan.,1,,"British Land – Transition Vehicle. British Land established a Transition Vehicle specifically to provide ring-fenced funding for retrofitting its standing portfolio, R&D and other Net Zero measures. It was initially funded through an internal carbon levy of £60/tCO₂e of embodied carbon on new developments. British Land subsequently reported £31.1m total funding in the vehicle and £9.6m committed to carbon-efficient interventions. This is direct evidence of a structured long-term mechanism for financing decarbonisation.",1,Consolidate.xlsx,78
CASE-0078,INIT-0078,"Explore external grants, funding and incentives.",1,,"University of West London – Public Sector Decarbonisation Scheme. UWL secured £5.1m of PSDS funding to support retrofit projects across four sites, including ground- and air-source heat pumps, photovoltaic technologies, BMS optimisation and lighting upgrades. The programme reports 529 tCO₂ saved per year and 29% overall energy savings. UWL stated that the availability of external funding enabled it to deliver the energy-saving works. This directly demonstrates how external funding can unlock and accelerate decarbonisation investment.",1,Consolidate.xlsx,79
CASE-0079,INIT-0079,Develop a carbon removals strategy and quality criteria.,1,,SBTi Corporate Net-Zero Standard – Neutralisation Principle. SBTi requires companies pursuing Net Zero to achieve deep emissions reductions and then neutralise residual emissions through permanent carbon removals and storage. SBTi explicitly treats removals as a mechanism for residual emissions rather than a substitute for the emissions reductions required by long-term science-based targets. This directly supports establishing clear rules and quality criteria for the role of removals in a credible Net Zero strategy.,1,Consolidate.xlsx,80
CASE-0080,INIT-0080,Involve your guests in sustainability initiatives- offer discounts for opting out of daily cleaning of the room-- ask them to give feedback on your activities,1,,"Direct experimental evidence: A large field experiment covering 21,000 observations across seven hotels found that improved guest messaging increased towel reuse by 6.8% and bed-linen reuse by 1.2% compared with existing messaging. Other hotel experiments found that sustainability messages increased towel reuse relative to no-message controls. Practical example: Hotel Monaco Washington DC implemented a $5 dining credit for guests opting out of resource-intensive housekeeping services. Research also confirms that towel/linen reuse programmes reduce hotel water consumption and laundering costs.",2,Consolidate.xlsx,81
CASE-0081,INIT-0081,"Provide sustainability training for your leadership team, operations and functional central support teams.",1,,"Environmental Training – Hospitality Evidence. A study of 301 hotel employees found that environmental training significantly improved employees' in-role green performance, both directly and through increased environmental commitment. A separate study of 260 healthcare professionals found that green training increased voluntary pro-environmental behaviour and job satisfaction. This directly supports providing sustainability training as a means of improving employee environmental behaviour and capability.",2,Consolidate.xlsx,82
CASE-0082,INIT-0082,Offer a sustainable pension to employees (Ideally make it the default choice),1,,"Smart Pension – Sustainable Default Fund. Smart Pension's default growth fund, used by the large majority of its members, was moved to funds promoting ESG characteristics. Smart reported that the fund achieved a 50% reduction in financed emissions, more than two years ahead of its original target, and has a target to reach Net Zero by 2040. This directly demonstrates that sustainability can be incorporated into a workplace pension default investment strategy and that the financed-emissions intensity of that default can be materially reduced.",2,Consolidate.xlsx,83
CASE-0083,INIT-0083,Understand employee sustainability expectations and strengthen engagement,1,,"Employee Environmental Engagement – Empirical Evidence. A matched employee/supervisor study involving approximately 350 employees and 59 managers found that employee environmental sustainability engagement had a significant positive relationship with environmental performance. Separately, a quasi-experimental field study found that peer communication significantly increased employees' awareness, pride and participation in company environmental programmes compared with control groups. Together, these directly support actively understanding, communicating with and involving employees in sustainability.",2,Consolidate.xlsx,84
CASE-0084,INIT-0084,Embed sustainability into employee roles and responsibilities,1,,Green Performance Management – Empirical Evidence. A 2026 study covering 92 manufacturing firms and 242 senior/mid-ranking executives examined green performance management alongside other Green HRM practices and its relationship with firm environmental performance through employee green behaviour. Broader hospitality research also finds that performance management contributes to environmental performance through employees' environmental citizenship behaviour. This provides more direct evidence than the M&S example that formalising environmental expectations within employee performance systems can support environmental outcomes.,2,Consolidate.xlsx,85
CASE-0085,INIT-0085,Recognizing and rewarding employees for their contributions to sustainability efforts can boost morale and motivation,1,,Environmental KPI and Employee Reward Case Study. A 2024 Ecological Indicators study examined an Italian food company that created approximately 70 environmental KPIs and directly linked them to rewards for managers and employees through management-by-objectives. This demonstrates a practical method for linking measurable environmental performance to employee recognition and rewards. Research on green compensation further argues that rewards are more effective when they explicitly recognise environmental contribution and incorporate both environmental outcomes and the process used to achieve them.,2,Consolidate.xlsx,86
CASE-0086,INIT-0086,Develop and maintain a Climate Transition Plan.,1,UK Government – Climate-related Transition Plan Requirements: Benefits of Transition Planning / Frontiers – Do Credible Climate Transition Plans Matter for Carbon Performance?,"UK Government – Business Benefits of Transition Planning. The UK Government's review of evidence on climate-transition-plan requirements concludes that transition planning can deliver significant benefits to companies, including supporting firm-level emissions reductions, increasing competitiveness and reducing the cost of debt. It cites research finding that 65% of executives believe achieving their transition targets would make their company more or much more competitive. Separately, a 2026 study of 239 Fortune Global 500 non-financial firms, covering 1,126 firm-year observations, found that greater Climate Transition Plan credibility was significantly associated with better subsequent carbon performance. Together, the evidence supports both the business rationale and environmental value of developing a credible transition plan, although the carbon-performance relationship should be interpreted as an association rather than definitive causation.",2,Consolidate.xlsx,87
