Initiative_ID,Initiative_Name,Topic,Sub_Topic,Description,Why_Benefit,How_Text,KPI,Sector_Included,Sector_Not_Included,Source_Old_Initiative,Value_Card_Slots,Has_Case,Source_Workbook,Source_Sheet,Source_Row
INIT-0044,Install heat/energy recovery ventilation units,Energy & Buildings,Energy Management,"Installing ventilation systems that recover heat from outgoing air and transfer it to incoming fresh air, reducing heating or cooling demand.","Ventilation is a large and continuous heat loss in hospitality buildings: warm air is extracted from kitchens, bedrooms and function spaces and replaced with cold outside air that must then be heated. Recovering that heat cuts heating demand directly, and is one of the few measures that works on a fully electrified building where there is no gas to switch. Payback is driven almost entirely by run hours and by which fuel the recovered heat displaces, so it should never be quoted as a single estate-wide figure.","1. Locate the waste heat — take extract points by temperature and run hours from the Energy Health Check output, covering kitchen canopies, cellar cooling condensers, hotel corridors and bathrooms, and function-room air handling.
2. Select the recovery route per application — air-to-air exchangers on general ventilation, run-around coils where extract air is contaminated and wastewater recovery on kitchen drains, matching recovered heat to a simultaneous demand.
3. Pilot with measurement — install at one site per format with temperature and flow monitoring and run it across a full heating season before committing to rollout.
4. Roll out at the refurbishment cycle — retrofit when ventilation plant is being replaced or a kitchen refitted, and record recovered kWh per site from the pilot monitoring.",% of sites with heat/energy recovery ventilation installed,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Install Heat Recovery Ventilation Units,4,YES,Consolidate.xlsx,工作表1,45
INIT-0045,Deploy gas boiler additives,Energy & Buildings,Energy Management,"Dosing a wet (hydronic) central heating system with a chemical additive intended to improve heat transfer from radiators, so the boiler burns less gas to hold the same internal temperature. Dosed like a corrosion inhibitor, typically at the same time as a powerflush.","Heating is the largest single gas load in a hospitality estate - Fuller's discloses that heating accounts for over 50% of the gas used across its sites - so a small percentage gain applies to a large base. Dosing needs no capital works, no system downtime and takes 10-15 minutes per system, making it one of the few gas measures deployable across a whole estate inside a single heating season. The critical caveat is that the additive is almost always dosed alongside a powerflush, and the powerflush delivers a substantial share of the saving on its own.","1. Screen which boilers are eligible — additives work in closed-loop wet heating systems, so exclude sites already scheduled to come off gas and confirm boiler and inhibitor compatibility with the supplier in writing.
2. Establish a normalised baseline — collect at least one full heating season of gas consumption per site and normalise it to heating degree days, or a mild winter will manufacture a saving that does not exist.
3. Run a controlled pilot — dose a sample of sites and leave comparable sites undosed over the same period, changing nothing else, then compare degree-day-normalised consumption between the two groups.
4. Decide, then roll out or stop — extend only if the pilot shows a saving exceeding measurement uncertainty, then track treated boilers alongside normalised gas consumption and re-dose at the supplier's interval.",% of gas boilers treated with additives,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Use gas boiler additives,4,YES,Consolidate.xlsx,工作表1,46
INIT-0046,Install air or ground source heat pumps,Energy & Buildings,Energy Procurement & Renewables,"Replacing gas or LPG boilers with air source or ground source heat pumps, which move heat from outside air or the ground into the building rather than burning fuel to create it. In hospitality this is normally done at boiler end of life and paired with kitchen and hot-water electrification, since a heat pump alone does not take a site off gas.","Gas and LPG equipment is the dominant source of direct emissions in a hospitality estate - Whitbread discloses that over 70% of its Scope 1 emissions come from it - so nothing else removes Scope 1 at this scale. A heat pump delivers three or more units of heat per unit of electricity, so it also converts the estate's remaining fossil load into something that decarbonises automatically as the grid does. The counter-argument is running cost: UK non-domestic electricity costs roughly 4.7 times gas per kWh, so the operating case depends entirely on achieved efficiency and contracted rates.","1. Assess heat demand and fabric first — establish site heat loss, existing emitter sizing and hot water demand before selecting capacity, since heat pumps deliver at lower flow temperatures than gas boilers.
2. Choose the technology per site — air source for most retrofits, ground source only where land and capital justify it, and confirm electrical supply capacity and DNO headroom early.
3. Design the whole electrification package — cover space heating, hot water and kitchen equipment together, retaining buffer vessels, storage or a secondary heat source for peak-demand days.
4. Bundle into the capital cycle and verify — install alongside planned refurbishment so each site is disrupted once, then measure delivered heat against electricity consumed to evidence the achieved coefficient of performance.",% of sites with gas heating replaced by air or ground source heat pumps (report installed thermal capacity in kW and achieved seasonal COP per site),"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Install air source or ground source heat pumps,4,YES,Consolidate.xlsx,工作表1,47
INIT-0047,Utilise cellar cooling across estates,Energy & Buildings,Energy Management,"Reducing the energy used to keep a pub cellar and its dispense equipment at serving temperature, through controls that cycle the chiller, free (ambient) cooling, heat recovery from the refrigeration circuit, and replacement of outdated plant. Applies to pubs, bars and breweries only.","Cellar equipment runs continuously, all day and every day, which makes it one of the largest and most predictable electricity loads in a pub and the one energy measure that is unique to the sector. The measures are sequenced cheapest-first - controls before plant replacement - so the initiative can start without capital. It also carries a commercial benefit that usually exceeds the energy saving: stable cellar temperature protects drinks quality and cuts beer waste.","1. Survey the cellar as a chilled box — record volume, insulation, door seals and every heat source inside the cooled space, including remote coolers, ice machines and lighting, plus the chiller's age and sizing.
2. Do the no- and low-cost measures first — relocate heat-generating equipment out of the cooled space, fix seals, fit door alarms and correct over-cooling, which often reduces the cooling capacity needed.
3. Add controls and free cooling — fit smart controls that cycle the chiller against measured cellar temperature, and consider an ambient cooler that uses outside air in colder conditions.
4. Sub-meter, then replace the plant last — measure cellar kWh before and after so savings can be evidenced, and replace the cooling unit only once heat gains are reduced so the new unit can be smaller.",% of sites with cellar cooling installed,Pubs/Bars/Breweries,"Restaurants, QSRs, Hotels, Contract Caterers, Experiential Leisure",Utilise Cellar Cooling,4,YES,Consolidate.xlsx,工作表1,48
INIT-0048,Replace gas-fired heating and catering equipment with electric alternatives,Energy & Buildings,Energy Management,"Replacing gas- and LPG-fired catering equipment, space heating and hot water plant with electric alternatives - induction and electric cooking, electric or heat pump water heating - with the end state being a site that has no gas or LPG connection at all.","This is the only measure that removes Scope 1 combustion emissions outright rather than reducing them, and unlike certificate-based measures it produces a physical change that cannot be questioned on additionality grounds. It also removes exposure to future gas price and gas policy risk, and improves kitchen working conditions through lower ambient heat and better indoor air quality. The honest counter-argument is operating cost: UK non-domestic electricity costs roughly 4.7 times gas per kWh, and direct electric catering equipment has no coefficient of performance to offset that, so this initiative is bought for Scope 1 abatement and regulatory resilience, not for energy cost savings.","1. Inventory gas assets and define the end state — list every gas appliance and adopt an auditable definition of 'off gas' covering water heating, space heating and cooking, noting a site is only off gas once the meter is removed.
2. Treat kitchens as the critical path — run menu trials, chef training and equipment selection before rollout, expecting kitchens to electrify well ahead of full site de-gassing.
3. Confirm electrical capacity before committing — check supply capacity and DNO headroom per site, as a supply upgrade is often the largest single cost and the longest lead item.
4. Bundle with planned works, then remove the connection — electrify during refurbishment on REGO-backed supply, then disconnect and remove the gas meter to end standing charges and make the change auditable.",% of gas-fired heating and catering units replaced with electric alternatives,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Transition from gas to electricity,4,YES,Consolidate.xlsx,工作表1,49
INIT-0049,Invest in energy-efficiency and renewables infrastructure,Energy & Buildings,Energy Procurement & Renewables,"Committing and tracking a defined level of investment in energy-efficiency and renewable-generation assets across the estate, whether funded from the operator's own capital or through third-party finance such as a power purchase agreement.","Planned investment is the leading indicator for every other energy measure: without a committed budget, an audit produces a list that is never delivered. Tracking it also makes the transition plan credible to investors and lenders, who increasingly test whether stated targets are backed by capital allocation. The measurement caveat matters as much as the investment: a capital-only metric will score a fully third-party-financed programme at zero, which is exactly the wrong signal.","1. Build the pipeline from evidence — use the Energy Health Check output to assemble a costed list of measures, each with capex, annual saving, payback and tCO2e.
2. Rank and allocate across the portfolio — split spend between quick-payback efficiency measures, structural decarbonisation with long payback, and generation, testing contested measures before funding.
3. Decide the funding route per measure — owned capital, third-party financed PPAs, leasing or supplier finance, tested against cost of capital and contract tenure.
4. Align to the works cycle, then disclose — tie measures to refurbishment, plant end-of-life and lease events, report spend against the KPI, and track delivered kWh, £ and tCO2e against plan.",Planned capital investment in energy efficiency and renewables over next 12 months (£),"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,,4,YES,Consolidate.xlsx,工作表1,50
INIT-0050,"Upgrade building-fabric thermal performance (insulation, glazing, draught-proofing)",Energy & Buildings,Energy Management,"Improving the thermal performance of the building envelope - roof, wall and floor insulation, glazing, and draught-proofing - so less heat is lost through the fabric and the building needs less energy to hold a comfortable temperature.","Fabric improvement lowers heating demand year-round and lasts the life of the building, so it does not decay the way controls settings and behavioural measures do. It is also the enabling investment for electrification: a building with reduced heat loss needs smaller heat pump plant, can run at lower flow temperatures where efficiency is higher, and may avoid an expensive electrical supply upgrade altogether. The avoided cost of that larger supply upgrade can exceed the energy saving itself, which is why fabric usually loses on a standalone payback test but wins when appraised as an enabler.","1. Segment the estate by fabric archetype — group buildings by construction type, age and heritage status, and establish current U-values, glazing type and airtightness per archetype.
2. Specify a conservation-compatible package per archetype — where external wall insulation is not permitted, use roof and loft insulation, secondary or slim-profile glazing, draught-proofing and floor insulation, tackling airtightness first.
3. Pair fabric with ventilation, then resize plant — specify MVHR or equivalent alongside improved airtightness, then size heating plant to the reduced load.
4. Bundle into refurbishment and verify — tie disruptive works to planned refurbishment cycles, verify on degree-day-corrected heating consumption, and report by archetype.",% of sites that have completed building-fabric thermal upgrades,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Improve building insulation,4,YES,Consolidate.xlsx,工作表1,51
INIT-0051,Install smart sub-metering and a building management system (BMS),Energy & Buildings,Energy Management,"Installing half-hourly smart sub-metering and an actively managed building management system, so consumption is visible by site and by load, and HVAC, lighting and refrigeration are controlled automatically rather than manually.","Metering is the measurement basis for every other energy measure: without a half-hourly baseline, savings claimed anywhere else are estimates rather than evidence, and no supplier guarantee can be tested. It also surfaces waste that no site visit would catch - plant left running overnight, simultaneous heating and cooling, refrigeration faults before stock is lost. The cheapest wins come from data and controls the operator already owns, which is why this is usually the first initiative to fund and the least capital-intensive to start.","1. Harvest the data you already own — request half-hourly data from suppliers for every site with an advanced meter, then produce a gap list of sites needing meter retrofit.
2. Design a proportionate sub-metering strategy — decide per site format what to meter separately, covering cellar cooling, kitchen, HVAC, lighting, hot water and EV charging, by significant load rather than every item of plant.
3. Profile and hunt anomalies at estate level — build a typical half-hourly profile per site format and flag deviations: plant running overnight, heating and cooling fighting, equipment left on when closed.
4. Re-tune the existing BMS, then automate and assign ownership — audit setpoints, schedules and dead bands before buying hardware, then set a weekly exception review so a named person closes out anomalies.",% of sites with half-hourly smart sub-metering and an active BMS,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Install smart meters,4,YES,Consolidate.xlsx,工作表1,52
INIT-0052,Install on-site solar PV,Energy & Buildings,Energy Procurement & Renewables,"Installing solar photovoltaic panels on site roofs or land so that electricity is generated where it is consumed, either funded from the operator's own capital or through a third-party financed power purchase agreement.","On-site generation displaces grid-purchased electricity physically rather than contractually, so unlike a green tariff it cannot be challenged on additionality and it genuinely reduces the volume of electricity bought. That is the decisive commercial point: Mitchells & Butlers' Property Director has stated publicly that buying 100% renewable electricity made a significant impact on emissions but did not protect the business from price increases - on-site generation does, because a self-consumed unit is never purchased. Where the installation is third-party financed the price protection extends across the contract life at no capital cost.","1. Screen roofs for viability — filter on tenure first, freehold or long leasehold only, then orientation, pitch, roof age and condition, structural load capacity, shading and available area.
2. Size for self-consumption, not roof area — model half-hourly demand against generation and size the array to what the site consumes in daylight, since exported units earn far less than imported units cost; expect roughly 15-20% of a pub's annual demand.
3. Choose the funding route per site tenure — owned capital retains the asset and generation margin; a third-party financed PPA removes the capital constraint but locks in a contract that may outlast tenure.
4. Deliver as a repeatable production line and verify — apply for DNO connection early, standardise designs per roof archetype and batch sites geographically, then meter generation against forecast.",On-site solar PV capacity installed (kWp) and % of annual electricity demand met by on-site generation,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Install solar panels,4,YES,Consolidate.xlsx,工作表1,53
INIT-0053,Install voltage optimisation equipment,Energy & Buildings,Energy Management,"Installing equipment that regulates the incoming mains voltage down to a level closer to what site equipment actually requires. UK supply averages around 242V while equipment is rated 207-253V and is generally most efficient near 220V, so the intent is to cut consumption without any change to how the site operates.","The attraction is that it needs no behavioural change, no operational disruption and no ongoing management once fitted. The honest position, however, is that this is the one contested technology in this set: savings arise only on voltage-dependent loads, the independent evidence is far weaker than supplier claims, and the saving decays as equipment is replaced with voltage-independent alternatives. Treat it as pilot-gated rather than proven, and size expectations from the lower bound.","1. Measure incoming voltage before considering equipment — log actual supply voltage over at least a week at candidate sites and screen out any already supplied near 220-230V.
2. Profile the load, not just the voltage — separate voltage-dependent consumption such as older motors and discharge lighting from voltage-independent loads such as VSDs, inverter plant and LED drivers.
3. Pilot with independent measurement and verification — install at two or three representative sites, verify to IPMVP against control sites over the same period, and require a savings guarantee.
4. Sequence after other upgrades and re-verify — install only once LED and plant upgrades are decided, since those remove the loads that create the saving; re-measure annually.",% of sites fitted with voltage optimisation and average % reduction in electricity consumption,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Install voltage optimisation,4,YES,Consolidate.xlsx,工作表1,54
INIT-0054,Procure renewable electricity via PPAs or green tariffs,Energy & Buildings,Energy Procurement & Renewables,"Contracting electricity supply through a long-term power purchase agreement with a named generator, or through a REGO-backed green tariff from a supplier. This measures the procurement decision - the share of demand secured on renewable contractual terms - rather than the electricity actually consumed.","A power purchase agreement fixes price and volume for the contract life, so it is a genuine hedge against wholesale volatility as well as a decarbonisation route, and where it funds new-build generation it delivers real additionality. A REGO-backed tariff does neither: it decarbonises reported emissions but leaves the buyer fully exposed to price. That distinction is the whole point of this initiative - the two routes are frequently presented as interchangeable and are not.","1. Map the supply portfolio and contract calendar — list every meter with supplier, contract end date, annual volume and REGO status, then group sites into tranches by renewal date, since expiry dates dictate the achievable timeline.
2. Match a route to each tranche — a REGO-backed tariff for immediate estate-wide coverage, an on-site behind-the-meter PPA for sites with viable roofs, and an off-site or aggregated corporate PPA where volume and credit standing allow.
3. Consider an aggregated PPA across members — operators individually lacking the volume and credit profile for a wholesale agreement can participate collectively under a larger buyer.
4. Tender on certainty and additionality, then evidence it — score bids on contracted price and term, REGO retirement evidence and the age and location of the generating asset, then disclose the split between genuine PPAs and certificated tariffs.",% of electricity procured under long-term PPAs or REGO-backed green tariffs,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Buy renewable electricity,4,YES,Consolidate.xlsx,工作表1,55
INIT-0055,Enroll sites in demand-side response and flexibility schemes,Energy & Buildings,Energy Procurement & Renewables,"Contracting flexible electrical load - battery storage, EV charging, refrigeration, HVAC - into grid flexibility schemes such as the Capacity Market, so the site is paid to reduce or shift consumption at times of system stress. Usually accessed through an aggregator that bundles many small sites into a tradeable portfolio.","This is the only initiative in this set that earns revenue rather than saving cost, and it also reduces peak-related network charges. It rewards flexibility an estate may already have in refrigeration and storage. The honest position is that at current clearing prices the revenue is close to immaterial for a hospitality site, and the response windows collide with peak trading - so it should be treated as a marginal top-up on flexibility investment justified by other value, never as the business case for it.","1. Identify genuinely flexible load — use half-hourly data to find load that can be shifted or briefly interrupted without affecting guests, food safety or trade: refrigeration and cellar cooling, hot water storage, HVAC pre-conditioning, EV charging and battery storage.
2. Check the timing conflict before anything else — flexibility windows typically run roughly 07:00-14:00 and 16:00-22:00 seven days a week, and the evening window is peak trading.
3. Select an aggregator and negotiate the penalty terms deliberately — sites are too small to participate directly, and one missed response can penalise a whole pooled contract.
4. Mandate genuine load shifting, automate with override, then pilot — exclude diesel backup generation in the contract, give managers a documented override for trading-critical moments, and run a full season on a few sites before extending.",% of sites enrolled in DSR/flexibility schemes and annual load shifted or curtailed (kWh),"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,,4,YES,Consolidate.xlsx,工作表1,56
INIT-0056,Run staff energy-engagement programmes,Energy & Buildings,Energy Management,"Structured programmes that change how site teams use energy day to day - switch-off routines, energy champions, role-specific training, incentives and visible consumption feedback - rather than changes to plant or building fabric.","This is the lowest-cost measure available: the independent evidence puts the required investment at 1-2% of energy spend, and it is almost entirely revenue rather than capital, so it needs no capital approval and can start immediately. It also reaches the losses no equipment upgrade can fix - doors propped open, plant left running after service, controls overridden manually. The honest counterweight is that it is the hardest measure to prove and the easiest to let decay, so the measurement has to be funded as part of the programme rather than added afterwards.","1. Set the measurement basis before launching — identify matched control sites and establish weather-normalised half-hourly baselines.
2. Find the behaviours from the data, not a generic checklist — use half-hourly profiles to identify what staff actually control: plant left running after close, propped cellar doors, extract fans when kitchens are closed, external lighting in daylight.
3. Design for enablement, not awareness — fix physical barriers first with labelled switches, accessible controls and sensible default timeclock settings, so the desired behaviour is the easy one.
4. Build it into how sites are run, fund it and verify — appoint energy champions, add energy checks to shift routines, budget the Carbon Trust benchmark of 1-2% of energy spend, and report measured change against control sites.",% of sites running an active staff energy-engagement programme,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Train staff on energy saving,4,YES,Consolidate.xlsx,工作表1,57
INIT-0057,Optimise heating controls,Energy & Buildings,Energy Management,"Setting heating to deliver heat only where and when it is needed - zoning by area, weather compensation that varies flow temperature with outside conditions, and time and temperature setback outside occupied hours - rather than running to a fixed schedule and a fixed temperature.","Even efficient heating plant wastes energy if it heats empty spaces or runs to a fixed timeclock, and control drift is invisible: schedules get overridden for an event and never reset, sensors fail silently, and nobody notices because the building is warm. The commercial attraction is that the highest-value step needs professional time rather than capital, so it can be delivered across a dispersed estate far faster and more cheaply than plant replacement. It also protects trade - correct zoning prevents both cold trading areas and overheated bedrooms, which is why operations teams support this measure when they resist others.","1. Audit what the controls are doing, site by site — record time clocks, setpoints, dead bands, zoning, sensor locations and whether weather compensation and optimum start are enabled, then test against real trading hours on half-hourly data.
2. Correct the free items first — align schedules to trading hours, widen the dead band so heating and cooling stop fighting, enable setback for unoccupied periods and closed days, and switch on weather compensation and optimum start where the plant supports them.
3. Reduce heat demand before adding sophistication — coordinate with planned fabric and ventilation works, as controls on a leaky building deliver less.
4. Add zoning and central control, then prevent drift — control cellars, kitchens, function rooms and trading areas independently on a central platform, with an annual re-commissioning check, out-of-hours alerts and degree-day-corrected verification.","% of sites with optimised heating controls (zoning, weather compensation, setback)","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Improve heating controls,4,YES,Consolidate.xlsx,工作表1,58
INIT-0058,Improve building EPC ratings to B or above,Energy & Buildings,Energy Management,"Raising the Energy Performance Certificate rating of sites to band B or above. An EPC is an independently assessed, modelled asset rating of a building's energy performance, carbon-based for non-domestic property, and is the metric used by the Minimum Energy Efficiency Standards regime.","EPC band affects whether a property can lawfully be let, what it is worth, and whether lenders will finance it - so the exposure is avoided loss rather than energy saving.  In practical terms, based on household data, upgrading EPC rating from D to B could equate to a 28-63% decrease in energy bills ( an important finding given the volatile geopolitical context. The regulatory case has weakened substantially, however, and the honest position now is that this is primarily a commercial and asset-value initiative. The measures that raise a band - lighting, fabric, metering and controls - cut energy cost and carbon whether or not an EPC threshold ever applies, which is the more durable argument for doing the work.","1. Build an EPC register and establish scope — record rating, expiry, floor area and tenure per site, then segment by regulatory exposure: let buildings over 1,000 sq m, smaller let buildings, owner-occupied sites and Scottish sites under a separate regime.
2. Model the gap and the cost to B — obtain an EPC improvement report per in-scope site, noting that EPC is a modelled asset rating, so prioritise measures that both cut real consumption and move the rating.
3. Sequence upgrades to lease events and refurbishment cycles — align works with lease breaks, renewals and planned refurbishment, since the standard bites when a tenancy is granted, extended or renewed.
4. Deliver through the existing energy programme and track the timetable — treat EPC as the compliance lens over fabric, plant, lighting, controls and generation work already planned, register any valid exemptions, and re-test when secondary legislation is laid.",% of sites with an EPC rating of B or above,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Improve building energy ratings,4,YES,Consolidate.xlsx,工作表1,59
INIT-0059,Connect sites to low-carbon heat networks or solar thermal,Energy & Buildings,Energy Procurement & Renewables,"Where available, connecting to a low-carbon district heat network or installing solar thermal for hot water displaces gas-fired heating without a full heat-pump retrofit. Tracking the share of sites on low-carbon heat sources captures decarbonisation routes beyond electrification, particularly for sites where heat pumps are impractical.","For sites where a heat pump retrofit is impractical - constrained plant space, listed fabric, insufficient electrical capacity - a heat network connection or solar thermal can decarbonise heat without a full electrification programme. The position has also changed from optional to potentially mandatory: heat network zoning in England can require larger non-domestic buildings inside a designated zone to connect. So this initiative now carries a compliance dimension as well as an opportunity, and the first action is to find out which sites are exposed.","1. Screen by location first — map sites against existing and planned heat networks and designated zones, recording the outcome per site so the KPI denominator reflects what is achievable.
2. Establish the heat and hot water profile before choosing a technology — quantify volume, temperature requirement and seasonal pattern, noting heat networks suit year-round demand while solar thermal matches summer.
3. Compare against the alternatives on the same basis — appraise solar thermal against wastewater heat recovery, an air source heat pump for hot water, and solar PV on the same roof, since roof area is finite.
4. Interrogate commercial terms, then meter and verify — scrutinise tariff indexation, contract length, exit provisions, the network's carbon intensity and backup before signing, then meter delivered heat and report the two technologies separately.",% of sites supplied by a low-carbon heat network or solar thermal hot water,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Connect to low-carbon heating,4,YES,Consolidate.xlsx,工作表1,60
INIT-0060,Procure certified green gas or biomethane,Energy & Buildings,Energy Procurement & Renewables,"Buying certified green gas or biomethane for sites that remain on gas, evidenced by Renewable Gas Guarantees of Origin (RGGOs) that are cancelled against the volume consumed. It changes the carbon intensity reported for gas without any change to equipment or to the gas physically burnt on site.","It requires no capital, no site works and no operational change, so it is the only way to reduce the reported carbon of gas that cannot yet be electrified - a bridge for residual demand during the transition. Two things must be said alongside that: it costs far more per tonne than most capital measures, and under current rules an SBTi-validated organisation cannot count it toward its Scope 1 target at all. Use it deliberately for genuinely unavoidable residual gas, not as a substitute for capital investment.","1. Quantify residual gas demand and how long it will persist — total annual gas consumption in MWh by site, with a forecast of how that declines as electrification and fabric works are delivered.
2. Price the premium and choose the route — multiply residual MWh by prevailing certificate prices for an indicative annual cost, then decide between a certified supplier tariff and buying and cancelling certificates directly.
3. Screen certificates on quality, not just price — check the Production Support label, since certificates from subsidised plants carry weaker additionality.
4. Confirm acceptability, then retire and report honestly — establish in writing how your reporting framework treats green gas certificates, obtain the annual Cancellation Statement, and report the certified share alongside absolute residual gas volume.",% of gas procured as certified green gas or biomethane,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Buy green gas,4,YES,Consolidate.xlsx,工作表1,61
INIT-0061,Certify sites to ISO 50001 energy management,Energy & Buildings,Energy Management,"Certifying sites to ISO 50001, an independently audited energy management standard requiring energy baselines, defined significant energy uses, performance indicators and management review - and, uniquely among ISO standards, demonstrated improvement in energy performance rather than simply a maintained system.","It converts energy management from a series of projects into a governed process that must keep improving to retain certification, which is what stops savings decaying once the initial enthusiasm passes. In a UK context the strongest argument is compliance efficiency rather than energy saving: certification covering an organisation's full energy consumption is an alternative ESOS compliance route, so it can discharge an obligation the member already has instead of paying for parallel audits. It is also increasingly requested in B2B procurement questionnaires, which matters for members selling corporate accommodation and events.","1. Decide the ESOS interaction first — establish whether certification will cover all energy use, satisfying ESOS through this route, or only part, requiring separate audits for the remainder.
2. Define the certification scope deliberately — whole estate, a single format or a defined group of sites, since scope drives cost, audit burden and the achievable coverage metric.
3. Build the measurement foundation — baselines from at least 12 months of monitored consumption, significant energy uses identified (cellar cooling, kitchens, HVAC), and performance indicators normalised for weather and trading activity.
4. Embed into existing routines, certify and sustain — attach policy, roles, internal audit and management review to existing operational meetings rather than parallel governance, then maintain an improvement pipeline through annual surveillance on the three-year cycle.",% of sites covered by an ISO 50001-certified energy management system,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,,4,YES,Consolidate.xlsx,工作表1,62
INIT-0062,Install power factor correction,Energy & Buildings,Energy Management,"Installing capacitor banks to correct a site's power factor - the proportion of the electricity drawn that does useful work - and right-sizing the agreed supply capacity, so that reactive power penalties and excess capacity charges are removed from the electricity bill.","This is a billing correction rather than an energy saving: it removes charges the site is incurring for drawing reactive power and for capacity it does not use, without any change to operations. It suits hospitality specifically because refrigeration, cellar cooling, lifts and HVAC are inductive motor loads, which are what depress power factor. Unusually for this list, the saving is arithmetically calculable from a member's own bill before anyone is engaged - so the screening step costs nothing and the business case does not depend on a supplier's percentage.","1. Screen from the bills at zero cost — check reactive/kVArh, kVA maximum demand and availability charges (~£1/kVA/month) per half-hourly supply; exclude single-phase sites and those with no such charges.
2. Measure actual power factor — survey a representative period including trading peaks, plus harmonics. Penalties bite below ~0.95 (some 0.90–0.92); record depth and frequency below threshold, not the average.
3. Size correction and capacity together — kVAr for ~0.95 (kVA reduction = kW × (1/existing pf − 1/target pf)), then cut Authorised Supply Capacity to actual demand, often the larger saving, keeping headroom.
4. Specify for harmonics — detuned banks where LED drivers, inverters and VSDs distort; automatic correction suits variable load; parallel install, no shutdown.
5. Demand a site-specific projection from your bills and survey; reject generic percentage quotes.
6. Monitor for drift — capacitors and controls fail silently; alert on reactive and kVA charges monthly, recheck pf annually. Report % sites corrected and measured pf against qualifying sites, not the whole estate.",% of sites with power factor correction installed and average power factor achieved,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Install power factor correction,4,YES,Consolidate.xlsx,工作表1,63
INIT-0063,Build to BREEAM 'Very Good' or above,Energy & Buildings,Energy Management,"An independently certified standard for the design and construction of energy- and resource-efficient buildings. Applying it to new builds and major refurbishments, and targeting a rating of 'Very Good' or above, sets low operational energy demand into the design at the point where it is cheapest to influence.","Design-stage decisions determine a building's energy demand for its whole life, and they cost almost nothing to influence at inception and a great deal to change later. The evidence for 'Very Good' is unusually favourable: the scheme owner's own cost research puts the capital uplift below 0.25% of construction cost, so this is close to a free commitment provided the target is set at project inception. Certification also carries value and financing benefits, and on some sites it is imposed by planning conditions regardless of policy.","1. Define 'qualifying project' — all new builds, major refurbishments above a stated capital value or floor area, and anything needing planning consent (some authorities mandate it); otherwise denominators differ.
2. Set the target at inception, not design freeze — credits are cheap designed in, costly retrofitted: the same rating costs under 0.25% or several percent purely on timing. Write it into the brief and appointments.
3. Appoint a licensed assessor at concept design — sort credits into free, cheap and expensive; aim above 'Very Good' as credits are lost in build.
4. Budget the evidence effort — capital uplift is minimal at Very Good, but design and contractor evidence time is real; fund it in fees.
5. Earn credits from planned work — fabric, controls, lighting, heat pumps and on-site generation are delivered anyway; check EPC alongside.
6. Hold to completion — contractor obligation with evidence milestones and post-construction certificate; report certified, not targeted.",% of qualifying new-build and major refurbishment projects achieving BREEAM 'Very Good' or above,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",None,Build to green building standards,4,YES,Consolidate.xlsx,工作表1,64
